,ref1,ref2,length,similarity
0,Shabbat 75a:6,Sukkah 33b:11,63,0.5020576131687243
1,Chullin 108a:8,Menachot 23a:1,99,0.9849246231155779
2,Chullin 100b:1-2,Menachot 23a:1,99,0.6972477064220184
3,Avodah Zarah 3b:3,Yevamot 24b:8,162,0.4742857142857143
4,Bava Metzia 39b:2,Eruvin 29a:19-29b:1,163,0.45977011494252873
5,Nedarim 63a:1-2,Taanit 6a:9-10,248,0.3706422018348624
6,Ketubot 6b:13-7a:1,Shabbat 107a:3,108,0.1791044776119403
7,Sukkah 6b:12,Yevamot 53a:4,99,0.6507177033492823
8,Yevamot 112b:18,Yevamot 96b:9,94,0.5016949152542373
9,Niddah 67b:2,Yevamot 78a:20,100,0.5637065637065637
10,Berakhot 40a:11,Shabbat 127a:13,290,0.16230366492146597
11,Menachot 83a:5-9,Zevachim 98a:3-7,493,0.5536062378167641
12,Yevamot 76b:3,Yevamot 78a:13,156,0.739454094292804
13,Makkot 8b:2,Nazir 45a:5,71,0.6666666666666666
14,Bava Batra 10a:13,Shabbat 127a:13,337,0.08877928483353884
15,Ketubot 22b:2,Yevamot 88b:3,242,0.6285714285714286
16,Eruvin 95a:5,Sanhedrin 23b:19-20,156,0.3048128342245989
17,Zevachim 103b:11-12,Zevachim 86a:7-8,197,0.7830188679245284
18,Temurah 21b:5-6,Zevachim 60b:1-2,237,0.21528861154446177
19,Yoma 49a:1,Zevachim 14a:21-14b:2,85,0.9069767441860465
20,Bava Metzia 62b:5,Bava Metzia 72b:6,82,0.9634146341463414
21,Chagigah 3b:10,Megillah 10a:7,87,0.046357615894039736
22,Nazir 55a:4,Yevamot 31a:5,106,0.3950617283950617
23,Zevachim 12b:20,Zevachim 16a:4,137,0.7038327526132404
24,Avodah Zarah 29a:3,Yoma 18a:16,193,0.06132075471698113
25,Keritot 20b:4,Shabbat 50a:17-18,142,0.35294117647058826
26,Kiddushin 64b:6,Yevamot 23b:6-7,88,0.5758754863813229
27,Bekhorot 53b:17,Temurah 5a:8,94,0.37583892617449666
28,Sanhedrin 19a:15,Shabbat 55a:2-3,215,0.18181818181818182
29,Horayot 10b:16,Sotah 22b:5,113,0.6714801444043321
30,Bava Batra 155b:1,Yevamot 97a:3,115,0.6330935251798561
31,Sanhedrin 52b:17-18,Sanhedrin 84b:3-4,107,0.7911111111111111
32,Bava Batra 176b:2,Bava Metzia 66a:7,122,0.46774193548387094
33,Menachot 79b:13-14,Temurah 18b:11-13,377,0.07644882860665844
34,Niddah 61b:13,Sotah 49a:11-12,119,0.3303303303303303
35,Chullin 27a:18,Yoma 25b:16,104,0.683982683982684
36,Chullin 19b:4-5,Yevamot 17a:5,135,0.041343669250646
37,Sanhedrin 45b:12,Sanhedrin 67b:4,91,0.6844919786096256
38,Avodah Zarah 8a:2,Berakhot 31a:26,129,0.5626911314984709
39,Avodah Zarah 61b:15,Avodah Zarah 70a:4,108,0.8858447488584474
40,Pesachim 25b:3,Sanhedrin 73a:5-6,182,0.5985401459854015
41,Bava Batra 139b:2,Ketubot 78b:8,129,0.7896678966789668
42,Menachot 28a:7,Menachot 34a:16,64,0.5757575757575758
