,Masechet,Daf,Loc,Text
0,Arakhin,2a,"9,0","תני והדר מפרש - והוא הדין נמי מצי למנקט חד מהנך אלא חד מתרתי תלת נקט. ל""א להכי נקט האי משום דפליגי רבנן ור""מ בהאי פירקא (לקמן ערכין דף ה.) המעריך פחות מבן חדש ר""מ אומר נותן דמיו אדם יודע שאין ערך לפחות מבן חדש וגמר ואמר לשם דמים וחכ""א לא אמר כלום ולהכי סתמה ברישא לאשמועי' ממשנה יתירא דאפי' לרבנן היכא דאמר דמיו עלי יש לו דמים ונותן דמיו מפי מורינו:"
1,Arakhin,6a,"2,1","לבסוף - לחזק את בדק דאין לומר רפיון ידים מקבלין. ל""א בתחילה כשלא היתה אימתן של עובדי כוכבים עליהן אין מקבלין אבל לבסוף מקבלין משום אימה. וראשון עיקר וזה אינו טעם דהא כל ימי בית שני היתה אימת העובדי כוכבים עליהן ובתחילתו יותר מסופו. וא""ת האי בתחילה נמי אמקדש ראשון קאמר א""כ מאי מותיב ליה לקמן מואגרת אל אסף וגו' דהיינו במקדש שני:"
2,Arakhin,6a,"2,3","אמה כליא עורב - להכי נקט אמה דאמרי' בפרק בתרא דמנחות (דף קז.) הרי עלי ברזל לא יפחות מאמה על אמה לכליא עורב שהיו מביאין טבלאות של ברזל אמה על אמה ובהן מסמרות גבוהין אמה קבועין ומחפין בהן ראש הגג של היכל לגרש את העורבים שלא ישכנו שם. כליא לשון שמגרש את העורבין כמו כייל דידבי כייל פרוחי דאמר במסכת נדה (דף יז. ע""ש) שהיה מגרש זבובין ממטתו בשעת תשמיש משום צניעות דאסור לשמש מטתו בפני כל חי. ל""א כליא עורב מונע העורבים כמו (תהילים מ׳:י״ב) לא תכלא רחמיך:"
3,Arakhin,6a,"4,1","אם אמר בדעת ישראל הפרשתיה - שלמקום שתרומת ישראל הולכת תלך זו. ל""א שישראל אמר לי להפרישה וראשון שמעתי:"
4,Arakhin,6a,"7,0","שם שלא במקומו אינו קדוש - כלומר אינו קדוש אלא מקום השם ואותה חתיכה תיגנז והשאר יבנה בבית הכנסת כי אמר בדעת ישראל הפרשתיה. ל""א שם שלא במקומו כגון על גבי קורות וכלים לא קדיש דלא הוי מקומו אלא על הנייר ושיכתוב המקרא עם השם כנתינתו אבל שם לבדו הוי שלא במקומו ולא קדיש וראשון שמעתי והוא עיקר:"
5,Arakhin,9b,"1,1","ואין ר""ה כו' או לאור עיבורו - לאור עיבורו של ניסן ביום שאירע בו ל""א של ניסן כגון אם ניסן בא' בשבת הוי אור עיבורו שלישי בשבת להכי קרי ליה אור עיבורו שהוא לילה שבו מתעבר החדש שכשעושים ר""ח יום ל""א הוי חדש שעבר מעובר:"
6,Arakhin,12b,"7,0","ומשני הנך תלת שנין דאגלינהו סנחריב עד דאתא ירמיה ואהדרינהו כו' - כלומר הנך שלש שנים שצר סנחריב עליהן כדכתיב (במלכים ב י״ז:ה׳) ויעל מלך אשור (על כל) [בכל] הארץ ויעל שומרון ויצר עליה שלש שנים ולא היה להם פנאי לחרוש ולזרוע ולא מנו שמיטין ויובלות לא קא חשיב להו. והאי דנקט עד דאתא ירמיהו אהדרינהו לאו דווקא דהא יותר מתשעים שנה היה מחזקיהו שהגלה אותן סנחריב עד שהחזירן ירמיהו בימי יאשיהו אלא ה""ק תלת שני דאגלינהו סנחריב והיו באותו גלות עד שהחזירן ירמיהו לא חשיב להו להנך שלש שנים כך שמעתי. והרבה תשובות בדבר חדא דכי מדלית תלת שני משכחת חורבן בשנת ארבעים ותשע והיא שביעית ואנן בעינן מוצאי שביעית ועוד י""ד שנה אחרי אשר הוכתה העיר דליהוי יובל לא משכחת לה והא ליכא למימר לר' יהודה לית ליה הך דרשא דהא קרא כתיב ולקמן לא משכחינן ז' שחילקו אלא מהך דרשא די""ד אחרי אשר הוכתה העיר הוה יובל ועוד קשיא לי היכי לא מדלינן אלא הנך תלת שני והאמרי' בפ' בתרא (לקמן ערכין לב:) משגלו שבט ראובן וגד בטלו היובלות עד שהחזירן ירמיהו ואע""ג דמתרצינן התם מנו יובלות לקדש שמיטין הני מילי לרבנן אבל לר' יהודה מוקמינן התם דלא מנו יובלות כלל ועוד היאך יתכן ליטול שלש שנים לבדם אם כשעלה סנחריב עליהם כבר מנו י' שנים או י""ב ליובל ועלה עליהם שלש שנים היאך יתכן להפסיק אותן שלש שנים ולחזור למניינם הראשון ולמנות י""ג י""ד לקדש יובל שנת החמשים ושלש בעל כרחך אז התחילו למנות א' ב' ג' ד'. ומתוך הוויות אלו נראה בעיני דהאי תלת דכתב בספרים שיבוש הוא ופירוש משובש היה ונכתב בספרים. והכי גרסינן הנך שני דאגלינהו סנחריב עד דאתא ירמיהו אהדרינהו לא חשיב ודוקא נקט דכל אותן השנים שהיו בגלות לא חשיב רבי יהודה במנין שמיטין ויובלות וכדאמרי' בפרק בתרא אלא באותה שנה שחזרו בימי יאשיהו התחילו למנות ליובל וצא וחשוב מאותה שנה עד שנת הת""י החורבן ותמצא חשבונך סדור כמין חומר דבשנת שלשים ושש ליובל חרב הבית והיא מוצאי שביעית ומשכחת ארבע עשרה שנה אחר אשר הוכתה העיר הוה שנת היובל שהרי חזרו בשנת י""ח ליאשיהו כדכתיב (במלכים ב כ״ב:י״ג) דבשנת י""ח ליאשיהו נמצא הספר בבית המקדש ועל דברי הספר שלח המלך אל חולדה הנביאה ואמרי' במגילה (דף יד:) היכי שבקיה לירמיהו ושדר לחולדה ואמרינן ירמיה לא הוה התם שהלך להחזיר עשרת השבטים ומנלן דהדור דכתיב מה הציון הלז וגו' ודבר זה שפינה יאשיה את העבודת כוכבים באותה שנה היה וכך מצאתי בסדר עולם בי""ח ליאשיהו היה תחלת היובל ויאשיהו מלך ל""א שנה מי""ח עד ל""א כמה הוו ארבסרי וחד סרי ליהויקים ויהויכין וחד סרי לצדקיהו כדכתיב (במלכים ב כ״ה:כ״ז) הרי שלשים ושש ואז חרב הבית ומיתוקמא שפיר כר' יהודה. כך הבנתי מלבי וישרה בעיני אבל לא שמעתיה ואחרי כן מצאתי ספר ישן מוגה שכתוב בו כן והודעתיו לרבותי וישרה בעיניהם:"
7,Arakhin,13b,"0,0","ארבעה ימים קודם שחיטה - ומשום הכי בעינן ששה לעולם דבשעת חינוך נתנו שם ששה מבוקרין ד' ימים קודם לכן ונטלו יום ראשון שנים לתמידים ונתנו שנים תחתיהם ויבקרום ביום שני נטלו שנים מן הארבעה הנותרים ונתנו שנים תחתיהם ויום שלישי נטלו שנים הנותרים מן הראשונים ונתנו שנים תחתיהן וכן לעולם נוטלים שנים ונותנים שנים ואותן שנתבקרו וניתנו שם יום ראשון ראויים ליום רביעי ואותן שניתנו בשני ראויין בחמישי וכן חוזרין חלילה לעולם ונמצאו כל התמידין הנשחטין מבוקרין ד' ימים קודם שחיטה עם יום הביקור ויום השחיטה כך שמעתי. וקשיא לי הא לא דמי לארבעה ימים דפסח דביקורו בעשור ושחיטתו בי""ד הרי ארבעה ימים לבד מיום השחיטה ולכך נראה בעיני דשמונה ניתנו שם ביום חינוך וששה דקתני במתני' הכי משמע אין פוחתים מששה כלומר שאפילו כשיטלו השנים שבכל יום נשתיירו שם ששה מבוקרין ולאחר כך קודם הלילה יבקרו שנים ויתנו שם והנך הואיל וליתנהו אכתי בשעת נטילת השנים לא קחשיב להו. ל""א סימנא בעלמא דכי היכי דכי מקלעי שבת ור""ה גבי הדדי מיבקר ההוא דשלישי בשבת בע""ש דהא לא מצו היום לילך ולבקש טלה ולבקרו השתא הוי ארבעה ימים קודם שחיטה הכי נמי לעולם בעינן ד' ימים קודם שחיטה: "
8,Arakhin,14a,"4,0","מתני' אחד המקדיש - שדה בחולת המחוז סביבות עיר שאינה חשובה כ""כ מפני מדרס הרגלים. חולת סביבות כמו מחול הכרם (כלאים פ""ד מ""א). (ל""א) מחוז עיר. ל""א מחוז שם מקום שלא היו שדותיו חשובין:"
9,Arakhin,15b,"26,1","וחזרתי לאחורי - לראות מי יעמוד אחורי שאף בפני הבעלים אני אומרה אלמא לאו לישנא בישא חשיבא. ל""א שאם באו הבעלים ואמרו למה אמרת כן לא חזרתי בי לאמר לא אמרתי אלא בפניהם הודיתי:"
