,Shabbat,Eruvin,Pesachim,Arakhin,Bekhorot,Chullin,Keritot,Menachot,Temurah,Zevachim,Beitzah,Chagigah,Megillah,Rosh Hashanah,Sukkah,Yoma,Gittin,Ketubot,Kiddushin,Sotah,Yevamot,Bava Batra,Bava Kamma,Bava Metzia,Avodah Zarah,Makkot,Sanhedrin,Shevuot,Niddah,Berakhot
Shabbat,,1.1575539568345323,1.0745098039215686,1.35,0.8247011952191236,0.5582010582010583,0.4966887417218543,1.9098039215686275,,1.1409395973154361,0.7446428571428572,2.8636363636363638,1.110091743119266,1.5,0.6377358490566037,0.8709677419354839,1.0294117647058822,1.2687747035573123,1.6688311688311688,2.62,1.3212765957446808,0.48507462686567165,1.894736842105263,1.1948051948051948,0.8947368421052632,0.7445255474452555,0.49693251533742333,2.3351351351351353,0.18681318681318682,1.25
Eruvin,0.8638906152889994,,0.7456896551724138,0.42857142857142855,6.3125,1.3185840707964602,3.15625,1.8072916666666667,,1.0,1.025735294117647,0.5428571428571428,1.2777777777777777,0.6653543307086615,1.004360465116279,2.5729166666666665,1.0816326530612246,1.3472222222222223,2.5925925925925926,,4.375,0.4603174603174603,1.5245901639344261,0.5625,0.8804780876494024,7.973684210526316,0.9311594202898551,0.6639344262295082,3.302325581395349,2.7708333333333335
Pesachim,0.9306569343065694,1.3410404624277457,,6.7368421052631575,2.2845528455284554,1.449814126394052,6.545454545454546,0.9860869565217392,1.1513157894736843,1.3486590038314177,0.6178861788617886,1.568421052631579,9.384615384615385,2.824561403508772,0.5249266862170088,1.3282937365010798,1.375,1.9094488188976377,1.056768558951965,0.3728813559322034,2.4623655913978495,1.6666666666666667,1.782857142857143,1.2397260273972603,1.6243654822335025,0.7777777777777778,1.2052631578947368,1.206896551724138,1.3153153153153154,3.7916666666666665
Arakhin,0.7407407407407407,2.3333333333333335,0.1484375,,2.0,0.6966292134831461,0.9803921568627451,2.7111111111111112,0.7142857142857143,0.7692307692307693,,,0.9186046511627907,,0.23214285714285715,0.3617021276595745,3.1020408163265305,0.6804123711340206,4.125,0.5227272727272727,1.16,,1.3689320388349515,1.6885245901639345,,,,14.285714285714286,1.0,
Bekhorot,1.21256038647343,0.15841584158415842,0.4377224199288256,0.5,,0.6702937976060935,4.926829268292683,1.9320987654320987,0.8627002288329519,1.3673469387755102,0.9259259259259259,0.5449438202247191,,,3.1666666666666665,2.090909090909091,0.358695652173913,0.8938547486033519,0.9476923076923077,,1.6326530612244898,,0.7548076923076923,1.0710900473933649,0.8506944444444444,,0.9322033898305084,0.8,1.0630841121495327,
Chullin,1.7914691943127963,0.7583892617449665,0.6897435897435897,1.435483870967742,1.4918831168831168,,1.4330708661417322,2.185064935064935,1.5515151515151515,1.0347567030784508,0.6591928251121076,0.7195121951219512,1.03125,1.75,1.88,2.1656050955414012,2.8077994428969357,0.6807339449541284,1.7088607594936709,0.7706422018348624,0.6872427983539094,12.806451612903226,1.5938375350140057,0.67,5.681818181818182,1.2417582417582418,0.42045454545454547,2.945273631840796,1.0819209039548023,5.125
Keritot,2.013333333333333,0.31683168316831684,0.1527777777777778,1.02,0.20297029702970298,0.6978021978021978,,,0.37,0.16037735849056603,0.2727272727272727,0.078125,,0.3867924528301887,0.6376811594202898,0.3541666666666667,0.7586206896551724,0.7974683544303798,1.4,0.3114754098360656,0.9166666666666666,,,,,0.5333333333333333,2.6307692307692307,0.27419354838709675,0.5757575757575758,
Menachot,0.5236139630390144,0.553314121037464,1.0141093474426808,0.36885245901639346,0.5175718849840255,0.4576523031203566,,,1.1458333333333333,1.1379939209726444,1.8,1.289855072463768,1.1451612903225807,0.6115702479338843,0.6697247706422018,1.2624309392265194,0.645933014354067,3.35,0.9515151515151515,1.2,1.2234042553191489,,0.7777777777777778,,0.11943793911007025,0.48128342245989303,1.6744186046511629,0.5828877005347594,0.9788732394366197,
Temurah,,,0.8685714285714285,1.4,1.1591511936339522,0.64453125,2.7027027027027026,0.8727272727272727,,1.665983606557377,11.0,1.6,,,,1.297872340425532,,,0.9004329004329005,,0.3492647058823529,,0.8173913043478261,0.46153846153846156,0.4,1.1428571428571428,0.9696969696969697,0.47297297297297297,0.5539568345323741,
Zevachim,0.8764705882352941,1.0,0.7414772727272727,1.3,0.7313432835820896,0.9664107485604606,6.235294117647059,0.8787393162393162,0.6002460024600246,,0.32894736842105265,0.44537815126050423,2.9669421487603307,0.5,0.18904109589041096,0.8836545324768023,0.8888888888888888,,0.6666666666666666,0.9353233830845771,0.916083916083916,,1.7272727272727273,,1.0170454545454546,1.2570093457943925,0.9426386233269598,0.9161676646706587,1.7448275862068965,
