,masechet1,masechet2,loc1,loc2,txt1,txt2
0,Bava Metzia,Eruvin,39b:2,29a:19-29b:1,['אבל בבתי לית לן בה - שהשכנים מעידין עליהם שבאו לחלקו של קטן:'],['עלין - לא חשיבי ורעים לאכול:']
1,Ketubot,Shabbat,6b:13-7a:1,107a:3,"['אם לעשות לה פה - שמתכוין ליפותה ולהיות לה פתח זה ליום מחר:', 'התם - גבי ליחה:', 'הכא - דם בתולים:']","['המפיס - מבקע מורסא קויטור""א:', 'אם לעשות לה פה - בתוספתא תני הכי אם לקולפה ולעשות לה פה כדרך שרופאים של עכשיו עושין דמתקן לה פתח:', 'חייב - משום בונה פתח או משום מתקן כלי מה לי לתקן מכה מה לי לתקן כלי:', 'ואם להוציא לחה - של עכשיו ואינו חושש אם תחזור ותסתום מיד:', 'פטור - ומותר דאין כאן תיקון ורבנן נמי לא גזור בה שבות משום צערא:', 'ליטול בה את הקוץ - והיינו דומיא דלחה דמצער ליה ואינו חושש אם יסתם מיד וקאמר ניטלת לכתחילה מחט של יד היא מחט שתופרין בה בגדים ומשום דקתני בהדה ושל שק לפתוח בה את הדלת קרי לה להאי מחט של יד:', 'קערה - של חרס:', 'כופין - לכתחילה ולא שיכבה את הנר ואשמעינן דכלי ניטל להצלת דבר שאינו ניטל בשבת:']"
2,Niddah,Yevamot,67b:2,78a:20,"['דבר תורה - הלכה למשה מסיני דאמר מר (סוכה דף ה:) שיעורין חציצין ומחיצין הלכה למשה מסיני:', 'רובו - רוב שערו קשור אחת אחת:']","['משום דר\' יצחק דאמר דבר תורה רובו ומקפיד עליו חוצץ - והכא לא קפיד בהאי חציצה האי ולדא דרביתיה הוא ואע""ג דאמר התם גזרו על רובו שאין מקפיד כו\' הכא אוקימנא אדאורייתא:']"
3,Yoma,Zevachim,49a:1,14a:21-14b:2,"['זר ואונן שיכור ובעל מום - כולהו נפקי לן מקראי דמחלי עבודה בפ""ב דזבחים (דף טז.):', 'וכן יושב - דבעי לעמוד לשרת (דברים יח):']",['שיכור - היינו שתוי יין:']
4,Pesachim,Pesachim,16a:16,20a:4,['אלא שאין מכשירים - אלמא הכשר תלושין דרבנן הוא דאי מדאורייתא מאן שקליה ממשקי בית מטבחיא דלא ליכשרו:'],['משקה בית מטבחיא - שהודחה בהן אינו מכשיר:']
5,Chullin,Niddah,34b:3,7a:8,['על טהרת הקדש לא - כלומר לית בהו שלישי:'],"['ולא בחולין שנעשו על טהרת תרומה - וקס""ד הוא הדין לחולין הטבולין לחלה דהם נמי נעשין בטהרת חלה המעורבת בהן:<br>ומשנינן חולין הטבולין לחלה חמירי מחולין שנעשו על טהרת תרומה דהכא עריבא בהו חלה אבל התם נטירותא יתירתא קביל עליה:']"
6,Shevuot,Shevuot,29a:10,39a:7,"['כשמשביעין אותו - גבי שבועת הדיינין תניא ליה המשביעין את המחויב שבועה בב""ד:']",['הרשעים - מפרש לקמיה:']
7,Bekhorot,Temurah,21b:1,19b:15,"['והתניא - בניחותא:', 'והרי הוא - כלומר ובדבר זה יש לו דין בכור:', 'מה בכור קדוש לפני זמנו - שהרי קדושתו מרחם:']",['בכור קדוש - ברחם דהיינו לפני זמנו:']
8,Pesachim,Yoma,22a:7,58b:3,['לגננים - בעלי גנות לזבל:'],"[""אלו ואלו - דמים החיצוני' והפנימיים הנשפכים על יסוד מזבח העולה היו שותתין ונופלים מן היסוד על הרצפה:"", 'לגננין - בעלי גנות:', 'ומועלין בהן - יש בהן איסור ליהנות בלא דמים:']"
9,Bava Batra,Bava Kamma,4b:7,20b:5,"[""מתני' המקיף את חבירו משלש רוחותיו - שקנה ג' שדות סביב שדה חבירו לשלשת מצריה וגדר את שלשתן ונמצא שדהו של אמצעי זה מוקף משלש רוחותיו:"", ""אין מחייבין אותו - לתת כלום כדאמרי' דסתם בקעה מקום שנהגו שלא לגדור הוא: ""]","['משלש רוחותיו - שהיה לו לראובן שלש שדות אצל שדה שמעון משלש רוחותיו:', 'וגדר - ראובן את הראשונה סמוך לשדה שמעון לבד מחיצות חיצונות שהיו לו בינו לשאר הבקעות: ואת השניה והשלישית כזה: <img src=""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHYAAACACAIAAABRDgpCAAAACXBIWXMAAA50AAAOdAFrJLPWAAAACXZwQWcAAAB2AAAAgADzKsueAAAZV0lEQVR42u1dCXgURb6fmay67vqtoGwARZdVgs8Fj0U5VkBABRRBQXRDEIRwPBFBCeh+niguC7v7Vp+wiqAI6kYOAyshgOKFisGFBDEccglogARISEhmJjOTdHe96q6Z6uo6evqaCe/7rM8PKz3ddfzqX//6X1XlUxQFAKAYkqQ0U2JaYu9D6nPqoXnhsiynqG0+l987TjLQ267g2tPSDNRZFlPrIHDHA2iJfdJ8EAta6Z5q0jnDZBmYf6JCbGs2pYKKYcZA0U7bwPIKLt+wO5YmDMQiaD4enYPmoiCq3qT8kWw5mdiHPp8vIyNj9OjRe/bsCoXqY7GILDcBIEejDZLUWF19av/+vVVVJ+ETWYmdqaseM3ZkSekWBcS0r2X45JsdW1etXh6NBUPh2mCo5lT1j+VHD37y6Yd50yff1LPr5q821QeruLhBiAG1yrVoeb7vp+Q0mVExpomfYPIYYmoywj9/giklVEwC7bIOv9/v8/vU/9KS1Op8Ae1f6mE83XxT96VvLFzy+qK77xyEH56XEXh40viNGwpv79+LLXPiuBwgRebOfu6Cn583fuz91VWV0eDpjevX9uxxA/y1c6eOQwb1p5uh/bt/3y5Lyx21bnAlPnIFp36F+cqK8kMH9gBFwr82RupjoTNAIP+mUJ4hhW4zGUPS5RzcHf1XNqMAmbMmc0U4n1firRgdYAMOtyhLbIH4JywvCTsCRQdgrgFJiS4DqjoVccFXPq6cGA6HgfMkJxWh2F/ZuWK9PtxVMq8QcwimutOnGsJ1SlND/BO5KRisqj557OC+HVs2f7K7bBt+M1RfEQ1Xf/JB4ajsYdd1zoL/Tsgdef+IYVu+3Ah/he+fOV1h3owkVJwUEZjKdm77tqwkec9BI/ofwt0WahZgTTarZCfCuAyEFo9EySyOEvUT9aHPmykpZhESBQd3wK0xB4ssG3NSjDLJW0WLil19h2o5+gr+y5bvM1dABesD4LBg5nNaHAR6geRPXC5hK236YkPiW4ldAHBdllThZPCSZK4IZjxVptvljkcIIL6O09RKsF1ZKKXYxTrJy0aJwsJXIAG0QdigKV0jl0WLXlR/luopuZjqgjkvlsMNdem0tMFUeXgvHgZmHWdnKChY/RbLRkLhM+vXrdHnpaeyICq2W/frEKCUgLx82TsUL6UhZuXwk6eOp976E18MC/KXaIpDBvrTR2gwuHsw36Xz5ejPyVNy4Z+1Z06QBixW3aKZsheT9S9zn+FCXFl5hIaUqpVSk+ATCHEqVANumQhiPN2wqgYTIuQ5c55iX6CUVytKrXuI33r7DahVwsyQuwaQdQmXOzwNSQX0tgH98JN02jP16tBMV0DbSy6i5hmRD+DuvbrgJaqHkD60lyXPiePGbp1QMyQ5SiruLAH52O7hlDtuNHzW8uJfacMFbOhp7tLTTz1hFFFA+99eSq4zsG2ylurqKnHbg6HqR6dNopZ7NAwmC6xjiEWTiSNRUFIU+fZnmz7SngTSTMULXptPKfvGCQggh+aKlbidlFVLW3mAt4xCBDGuSBORQfLlDj7J6tA+dRDTwpBmrd69awcln8KHg+64zcBJEqREFrWy4C2q/M8+W2dovHfLHQGxwfyryLEkCjT59qznZ8InxV99ngqIRXOWYLW6TN33lt6k7BV/Qefa8Td37fkPWVRJyaZ4aQB4zotxO2ONIQKzAFCAVYjherd0yWJY3pED36WTUXBXs5Ytzyd1S/RC8X82kQ1raqrTgNQNBZpsFKCMloBQrElVyFk74efVpytFEkVyRjGgf1/4VrC22iLEnlAKl8dRNg1U0fiJ2WqX5DhwU6fmUtrz1R1bp87Pi4QumAmGaghJN2Bmo2AhHjbsDlKKAnaMNc5jZwh9gVzijGw0rn3+edbjeH0DMtDVZe1jXSyRDYwYELYb9+1ctvxtS3KxgIr7GQVVyQq+9ixVpoyCHTC9cLInhrxG1YrMdWroEkhCiHPczgcnjZ0zdxZXQEhiBhLpS54sZRYhtvq50aqna8kKa5yUOGPmjocMHtL/q+JNMNMh6zK3EJPqlksKtTc8DASMl8yG3Vm0oDmedpoy+TLMHDi4xyBR2GIULMRpoGLnJo64DgVIqylllmPtlpbdCxyIIaOAtezbv8spxP5mg5j9nPXsykBinYTqh00hJLoVrXq9+vguOXwCceBQXXk4WFm2Y/P2bR+fOLZ//suzu3X73cSJOawJ3+6aUX70kHOhrev1nZVEQJgN5kh7yBUXMRLuQizET/wEIs4IAqvLp04eI01RnDdNIL722g5KIj7IpeUsbcnvtzcucqNDnwP8tk/fnjCDVA9crT2IE4Msu1zuxFE8aQgUSpKcy8V+34icYTDz0acb7IUNkpwbfVBVdQQZD5Fd0SuIqYq4iJxzrl+AV/yTc8/zde1xTe6EnGnTJk2dOh7y1mX5C6E41uX6DrvKik9W7H1wfPZzTz/6bekXU6ZMKN1evLaoICdnWNeuVzMQS455sZEfBexR8cCBfVTdP1rr99kIpmcp/dmZf0KLr8L4m73yhNIaCrC95HKjy0wKQRxd5HmxCvGSNxfi5U5iFjGbSeIOACWWmkfRCQdVd7xLlPjBG0hJEQSf2aXiqppKWHaLlr90DnGHrPaAkCiSd1sgUXAjr45XHKbCtCQ5Ior9eX/Ne1SgQjRWZxLQJctB+G9NzTFFaSgvPxCJ1OIIJTIkLHfkUMd2ZIjJtBmTYWb23OdJJmYP4tZtLnYmF7Nz0HFInICoRXkypi8J1Rvcg44g7nlzd5hpn3W5cyo2qh4Op5aBMwhQIyiRYhooTEQ2Z8dEOCUnrAQwzxNPhONkUaJo1boFbJs/w+dKaEtAHHBjnYi7B4EgHI8JCRIUQodvKdzNPzS9S/QTvED5fYsXvuiGFyMqvqHbdYyYKwgbJP0lhAc6bn5WXOzVYlkVSETFURYv1h/BlmcAHXDMDglqMHT19ddeQpmsK9qSfWTMnjYgzh03EmYeefShJBDTfxPpxq7XY+3OzdZZ1kEbDJ6kzDdEFRzrjD4eyXZ9wnxpyRYAIh9/WATLDJ6pIu2xcFAoEdsNFU+YOAZmHpo8wSoV81SPgPvljoFYTVCv576D8M0dNwrmQ+HTMP/UM3kY/YSvU4V4xzdbDx/aBzM7y0r9esmUlBrwMyZvrwKF4LdZHX4DM3cOGkBqT5zuU+s+WX32iHuQb4poCnAPMXxSVFTA1Ku2sqT0K/hkRM5w3FzSSIhyZWVbSe8kBVa/vj3J6urOVCFej1945OEJlPrqGGI0ft27dXEiUWRmZsJ/c0beB58cO/4D+tLxike3AIC1hauJCQ4ofwdB1PH8z87x0WqrlgbdcRumjDZtWojUDdjyibljUUWLXp3PQOzG0qa40u4G3n6rEo/ZCnjFi5Ek8PDD41ndLOFONkAM03d7d0KtBHNncsoDvAFG4xgJ9k2Am8ivXJGPMk88+Rhp3HTvYzS3K9ExbdQHvXv10Dvv2XKn0tTQobdzG43zp2tOkL59svZevbvH5RyfLxqpVxIqWyhYo4oYMi2Voyfz5sflM0LfDSRYpyMqDvjXFa6Cmb49exCc36YZaFreFFKBVgBwENLBXe6mafF9JHybvthAQCwR+o7665ebP0bPN360Dhv84AsXtbwgDpAkL3xlHnmuhe4t1TJt2mRy1Ne2v3LnxlWlxm+2FjtkFHCE12ijRMaQOdA4SIj9/jgVf731E+q11m1aUO5bLADpO1KZWO7yH79Hfy55c2EYSiDaw6qqo089+Rh64emnZyABmhJLUOrbr6djCx9sjjpngBIN1jrnxSWlXyMJPz6hrOwTYlTnSPQU24Lj5fupl8dPHEnCF43VcTndmsKVFCtcvnwpDlyT5TB/8QFg4MCBbAfbXtLKijFWCLG2rtSfPsnGF1s2Zi59XW231EjFVNsa7frgcbbP+fmvM/UGKCqePmMqteedVMHhn0PuUhl675u6Ygr9+9wXRAS1bds2lOnS5Xr2HbR11NwGzarBiBkVrlzmnIrHjFUVxN17dqC13kF4B/yEC/HoMfcmJATJSJUSRVBYG+aaLIDAZEpK8WjrbF1dHfozLy+P76TQLNfWBdP4uAIwKnu4c4gXvPoyLOLaTh3ciOiRYCXp9EUPW110LkX4prqWJLI6in1dErXpEG8KuvLK3+JJ3fGqKwyDYYGAyGmEvoLConOIZ89+Bj65/NJWrhRoWWGFNh/jqWIZhd2wArz/IOFm1G1s8Em/W3qhfGZmK358lKxwdigaV0iKs6F33nznDecQz//n/6hyX5+bTCIzWasHabKB6ccjO8VBcrrRdvTo+wL+FEYxm9soIqHTrNd23/4yhLsA4vifw+4Z5BziNYUFEK/ly97WFkqJir+DIip857rrOyGcz9RV5U2fDOgzHKSXX55NhRcpvDhE5OxIF8RUZInaqWjwTPwADQW5ptR5ACEOR6qx3ZLsPvLKqxJ321bOIS4/ehA+CYdquYiwgYhsHfDhC8/PMLQgIeqSlknEUmUZpJ+K9T3pzAAnNshLbAwV6c90bqOAlBsvTomRehdJCyj6k0KZKjBvai4FscJ7LdWRhrjGgDabkMkY5o3LJtCd4nw/P7DIeaxScRzUpgj5pSTprzVE6hQ6Uprelt+vzw2WA5aldFIxxHjRgnnUBmsaJo1jcDfUeQMxKisU5DAKXq18gPr16UL2irJbpo2WuYjACUrpF6QRVWEeMtv5XENceeKoJiLEWJP86ZoKgjHJ1PEUJFL/1fESWr9sVkZBWjJfevFvlPxnMIPoltUAG9XKhdi2Ao0KpRiFeWLP12CD5JCHnP7E6yMNzCBOWJS2by9mJVBV4JViiA5G5AyfMvVBbrAa167kkFE0NUZRBaqJwOghRk62YKhmztxZMLNs+dss3LxQT8Ad7VRTMYvIvv27+ZK+FMN7vszHzJ5EQSJSUVGBzRxQICaVMSxmJSDTyRY+VI/y5G1kxYs4Vo3SgyzeiIzjFEg4TpyoUDjyuaV1GFOJQyouKysjGIXOi6Ecjh5iz7bC7M2kKGLeS39hqTht21FJMZalYk6cUTzki4MvGw1hj4q5O/nRk/nz/sFGXqEXRj0wnGwH92SfdYUr3O8y8wRiXgc58JEBHjDhEz2oICOs3blSPdCT3DFj8ZerVi8naQF5Dcyjce8e0q+5IDacu8GH2GCuUl+UYj9+v3/tvwsOH/7uwhY/Z8MTWAXaBsS8eaQ+qampobQ7ghHHaaRN24uxzEAh7udKFKmHmFTH8fwTHc/BtW0ZrW5ApMdmZmY6DH5FCrS6uipNZGsERmuJe1I9NWZZWVemkYrJgx7jMWOUG4W1u2qnrktMOfx+eabdNYIY6R7F5htJDocb1MNc86ZPnj5javGWz5E+QrVpwoRxDPtLj9Am4X/RZntuB1mFQnVabitGlIuMmaXbv2bdMRTEDoNfY0pUE4clruBNpl+3vmDIXbfDzNaSzyk+OG78A8243CnEWfJsy09q6iuJciiocsXv9nxLgR6NBVle7IHqcar2JCAMY7gCSQmiFz7cWGTk0TJrkAxk+NjIzLRAHN/TQe5ro3ix6jnjHUvKs9DGA5GKt3zhpY1ir6b88MVYEDO/Coa7fvbq3SNtVMw1KVBerpnPPsFfKoF+VjRJGdRs8ICKt5V+TW2nEawqZinjZywVS2mWi9E2ZdWB1FBHNuaDDYXky4cO7YFcOG6S1WyHK1bm+/0+oxVM8hLiT7VDxMyJTtYM9m0vaTUt72FymyBlHmw2Xqyl/HffRDVec00WKTLt2rmdoRcASXvx4lc0USqGA89Y9u4Noyha9z4S0VgBgNisMGrmzGe0k+hqqDXaZJDTIhfrwuWhw/tQjdnZd5ON2fhhEaN98I2rhqMwEhqHBxB/JqZio+gOgIFtmckeaaZiMrKWbc9f575A2YuNB5jq6rUkR1NizBw6bDB3uSMXAe7pcOybzUTFcRu0rES5iBSuKaCIlLtoM2d5OFU9+GNi5DtUsCU1m27u8we2jvcKlhF+9QAAIL28GC0MUcqAhdJB3jUcVKfQJgHu7LQHMXd1QttFLNoejYq8rgtBoR0X2OMPN7qnYkf702UuIkfLDzHABerrT5EjdGm7zITXwxCV4A0Vd9M2hRkRAYJ7xHTHsyRHyJgVbgi3JyZ561vRRYjAZZBvLv+2JDE0iug4PjJ4zO0GXYU5/ZNEDUWpmtw2ZAzh9jcTFfMh1raHYN7dpLfWr+45JIOGqEgoEaMwc48KxNj4vjvqS8xb5/71ebSYdL7mqtEPjJgz97lnZz7xr/wlkDr6q8dLA4aKA2l2LJlDvKFoFcd1ZNylzd18gTBBoF144YXJqdjkDitUHnGqipqQM3TV6net6K94uXDPKBxfwCGC+O0lr3GlaX3fOrHAsI4ldqeipcvYrv5dFh2rChRWFDM2q8lEsV6ydJEh0l2gyzQLFTfGws5GV+QMFFIx+f3jf5om4sUC9iexc42ULnJyslMhF9viyDyIA+ZeD3ZR5VKxE9Xjuz27uIgAp2cl0Id2JbTPdF5vKqLiWDRol+ewEGsLI+XHMN1mrgWmsGEPPuD0yI9f/PJc/pidBRAvW7bYcZm4C3369Bb5A+P0RE2NI4e/5yPiFOK86VPYFpwlEA8dOsAlxKxcnPzMzHaXtmU9UeqWePV6ByfBqdkjhje7MVME8YzpU91TMQXxqeNHzCCGY5IR4MZH+e4Z3t9ZUzIy/GctxCuWv+MhFSPEbr25B7U20l1d8/5q7rw+/3y/m+M7z05eXFS0UnEadyuiYlL64p/8St9SkWjfjh2bnXWvXTs6vtjlSTgeQnzwYJlLKoZp2LC7WaLE1qL4YQlGMVDmUvGzz85w1pTWbS4+a6mYtbQ5oOL8d99iOmjYjUEfI8gNSYKZSy9r4awplNjIhVhOBAekCHd8LZNivAqNNAM5hviHHw6LzpKnGQUAgFW60U+D7+p3772DndkH+g/ox+U8gLa2gPRT8e7dHkC8YcO65BCT7KOxsZGl4vHj73+/cJmzy6AGDx7U7BKFyPZ47Nj37iGeNOm/WRmMpEUfd8DZQErDPWd2ZnTXrjdwOQ9pNjQxuCiG/fweUDHJKEpKNtvtDiu0bfhgrT3Vg3uUD2vgsN7nnr26C7U73oClgmOIGMWSJQvcUHEkohrq/pW/1LjRDFC3YfjYA4WZDaTgiisyHU/tnJH3seG3FMRK6m8M4YqxVByF3QJX/3uFwkRmlpfvS3DUxBlG5lSMmjXjsUcmPzTBfDqLUl39KaFEkUa5jQvxA6Nz3DAKdPgwpXdc26kj/SbX2ExF4K5bv+aFP890RmsNkVo0wuhfklHIRKBLvHZZUcQHMHgKsbrSvPLPeY5vsmKPO0R9vFM73C4hHWsBfOYqL+ptNBZiw2EsJvitn5hHAksbx67vOS9mRVIob5m7NpJCjEIgSUbxj7/NNkKsJIdYe7nRBcRBqkBWgQYpvjiWhJhcGNTzpQTyTFLShp/fPyqbFfx3xQMEiKqtQBxrDHfqdLWzCRWJ1purHlQXUwoxbWlbme+G86BwbshCSUI+sHcnNWBJIGaFHvu8uE6w3OkRenKKlz0RxPggTWcQb/9mKxKZjFS8ldx3nw6Iw9Fa9hjQ7jdeJ0dDadbuWIhFUfIWC0RbqJ986nHDpt/KcjqoxQqjcANxpDFIng2EGOLI7HveWDiP1eKAnHKISV7cMau9mwKPV/wIMyWlX3M3/eobcq1QMeRZjiGmQlUwKS1d/JroIL+02SgO7P1WH12bVePznV9dMI8ctuSXsXEhRvuABQGDSRKKUGd5ceGqFfHuAUVOvQrC3Xe3fm2BA1kiUU7chtO//62mNgqjSZ67RxdxifXrC5yRWNnOUvKiJyQq/rrFBXBZoJH1lIStRJbcdectbqaF+IhoI57m2t1XxZuAAnx2rrGiEnlvJCalCy84r76mKg0Qk+GQPFdbwCXEbEyb1NSA2I7Oi8mmoN+ob9pd1kY/Z8Y+CmibDeV3gWQda6hlX/bWGGR9s6ezaCD0uYqP4Y7CMN+YKXIs4YN0vDroXLcXNzVQ8gNIpa2NC/G4B+4jlF0HEKuT4KX//bshiKuhzjbEKPXp1dXx7TRWooGA28venED8yIOjE4YR59e7nv+Lc8gyjxtcrgJjJmmyMXAZR/2nGIXB0ibTZxCnQrQAxiMkyYWhfbuLPV/ujny/J8ntNPjs9vtH/hEoOtxTp0xyZgl76KFco1Mgvl8bRUWmx9UvOuJy7pxZji18KpsI+BTmfCkAmviMghpwmK664nKQsNTBNOu5551R2TtLF5K9qq+vQFV0+X1n3L3EaiOlGWJX17ua3uthFnCFPXUPThijEJErX3660bvlTrrsN61WvPcmPsM2FcZiKk7DfIORM68HV2hLfo0V/PnAvv1AF55lvCURn3nmos/6STJAP7pWTrXjTmEuOXWvuGvyDz6GNXL82JHErZu0lijeok/sWXW/h4spGVD8KdX4ps2kl9zJz5Wc8OA44MW87kkJ+gWp7j9VBRD4vF3PTn51Roh5/mAZGPB10xT+naHWLik5S5Nk3HIjox41sf3ymciS6em5OZf8f8Ei2PNuDau9wr1v1bvzmy0eIZRSRERD6NXQmruuffSlyKnXa1mybXb+4P5+YJNi/w+x5bgzMLD77wAAABp6VFh0anBlZzpjb2xvcnNwYWNlAAB42jMCAAAzADOJOCM1AAAAJHpUWHRqcGVnOnNhbXBsaW5nLWZhY3RvcgAAeNozrDDUMYRgABFvAued/h6ZAAAAAElFTkSuQmCC"">', 'אין מחייבין אותו - אין מחייבין את שמעון כלום דמאי אהני ליה הרי שדהו פתוחה מצד רביעית:']"
