,Masechet,Perek,Number,Perek_Dmasechet,Masechet_bPerek
Shabbat,473,83,8,9.0,10.0
Pesachim,296,80,31,19.0,20.0
Chullin,263,92,26,15.0,22.0
Eruvin,222,86,24,12.0,6.0
Zevachim,222,116,26,8.0,15.0
Sukkah,198,23,7,5.0,1.0
Sanhedrin,188,64,13,6.0,6.0
Ketubot,177,74,9,2.0,13.0
Kiddushin,172,28,6,3.0,7.0
Menachot,170,87,10,9.0,12.0
Gittin,153,36,11,4.0,7.0
Yevamot,137,99,7,4.0,4.0
Yoma,133,42,11,5.0,8.0
Sotah,130,26,6,3.0,5.0
Niddah,127,41,3,2.0,2.0
Beitzah,125,14,5,2.0,3.0
Bava Metzia,124,42,6,2.0,6.0
Berakhot,101,40,8,3.0,6.0
Bava Kamma,100,79,10,8.0,6.0
Avodah Zarah,93,19,4,2.0,4.0
Rosh Hashanah,81,13,6,3.0,1.0
Keritot,71,58,13,6.0,13.0
Temurah,69,33,13,9.0,10.0
Arakhin,67,23,10,7.0,3.0
Megillah,66,14,5,2.0,2.0
Shevuot,62,36,10,4.0,7.0
Chagigah,40,6,1,,
Makkot,39,8,2,1.0,2.0
Bava Batra,23,7,1,1.0,1.0
