Masechet,Daf,Comment,References,Text
Bava Kamma,3,0,תולדות שבת הוי,"הכא מאי - תולדות דשבת הוי כאבות תולדות דטומאה לא הוי כאבות והכא תולדות דנזקין מאי מי אמרינן תולדות כיוצא בהן לא שנא אב ל""ש תולדה אם הזיק משלם או דלמא לא:"
Bava Kamma,3,0,"בפ""ק סנהדרין (דף","ואגב אורחיה קמ""ל - קרא מדתלה נגיחה באדם ונגיפה בבהמה דמשמע נוחה היא הבהמה למות מן האדם משמיענו דשור המועד להרוג את הבהמה ג' פעמים לא חשיב העדאה לגבי אדם דאם נגח אדם ומת דינו כתם דאינו משלם את הכופר דבתם ההורג אדם כתיב סקול יסקל השור ובעל השור נקי (שמות כ״א:כ״ח) ובמועד כתיב וגם בעליו יומת וההיא מיתה היינו ממון שמשלם את הכופר דמי נהרג ליורשיו ולא מיתה ממש דאמרינן בפ""ק דסנהדרין (דף טו:) על רציחתו אתה הורגו ואי אתה הורגו על רציחת שורו אבל מועד לאדם הוי מועד לבהמה ומועד להרוג את האדם משכחת לה כשלא עמד בדין עד שנגח שלש פעמים שלא נסקל מיד כשהמית הראשון:"
Bava Kamma,148,0,"בפ""ק סנהדרין (דף","אמר רבא - גרסינן ולא גרסינן אמר ליה קפחתינהו לסבי דבי רב רב המנונא קרי סבי דבי רב כדאמר בפ""ק דסנהדרין (דף יז:):"
Bava Kamma,154,0,"בפ""ק בכורות (דף","וטהורה מטמאה מי מיעברא - דאיצטריך למעוטי והא קיימא לן בפ""ק דבכורות (דף ז.) לעולם אין מתעברת לא טמאה מן הטהורה ולא טהורה מן הטמאה:"
Bava Kamma,186,2,י' חולין (שם),"חייב בפרט כו' - דאע""ג דהפקר פטור מכולם דכתיב ארצך שדך וכרמך מהני תעזוב יתירא למעוטי כי האי גוונא דלא הוי הפקר לפטור ואע""ג שפטור מן המעשר ובכל הני כתיב תעזוב יתירא בקדושים כתיב כרמך לא תעולל ופרט כו' ובמשנה תורה (כד) כתיב כי תבצור כרמך לא תעולל וכן לא תפאר אחריך דהיינו פרט תפאר אישקוביי""ר ופאה נמי מהכא משמע דתנא דבי ר' ישמעאל (חולין דף קלא.) שלא תטול תפארתו ממנו שכחה כתיב במשנה תורה (שם) לא תשוב לקחתו וגו' ובאילן כתיב לא תפאר אחריך ואמר מר בפרק י' דחולין (שם) אחריך זו שכחה ולא בעי למיהדר ומכתב באילן לגר ליתום אלא לא תפאר אחריך ואנא ידענא דלעניים הוא כדאשכחן בעמרים אבל במעשר לא כתיב תעזוב יתירא:"
Bava Kamma,210,1,"בפ""ק סנהדרין (דף","רב המנונא תלמידו דרב הוה - דקיימא לן אמרי בי רב רב המנונא בפ""ק דסנהדרין (דף יז:) ואי לאו דידע דאפילו בהודה פטר רב לא הוה מותיב ליה מהואיל דיכול לחזור ולהודות:"
Bava Kamma,232,1,"מיתה ע""ז באין","עקירה צורך הנחה - דכיון דבין עקירה להנחה קרע נמצא מעשה שבת ומעשה עקירה באין כאחד ולא אמרינן משעת עקירה חייב ממון ומתחייב בנפשו לא הוי עד שעת הנחת חץ והכא נמי הגבהת יין צורך ניסוך הוא ותשלומין וחיוב מיתה דע""ז באין כאחד:"
Bava Kamma,232,0,מתיבתא יומא לרבנן,"מסיים מתיבתא דיומא לרבנן - היה מחזר ושונה להם מה שדרש רבי יוחנן אותו היום לפי שר""ל חכם גדול היה ולאחר ששמעו כולן מפי הרב חוזר ומכוונה בידם:"
Sanhedrin,18,2,עשרה מכות הראויות,אין מכין אותו אלא - שמונה עשרה דמכות הראויות להשתלש לשלשה חלקים בעינן שמכה שתי ידות מאחוריו ושליש מלפניו ומקרא נפקא לן באלו הן הלוקין (שם דף כג.):
Sanhedrin,52,0,"בפ""ק עירובין (ד'","יע""ל קג""ם - יאוש שלא מדעת באלו מציאות (ב""מ ד' כא:) עד זומם הכא לחי העומד מאיליו בפ""ק דעירובין (ד' טו.) קידושין שלא נמסרו לביאה בהאיש מקדש (קדושין ד' נא.) גילוי דעת בגיטין בהשולח גט (גיטין ד' לד.) מומר אוכל נבילות להכעיס לקמן:"
Sanhedrin,69,1,"בפ""ק קידושין (דף","חובת הגוף היא - חובה המוטלת על האדם ואינה מוטלת על הקרקע כגון מצות שביעית ולא על פירות קרקע כגון ערלה וכלאים ותרומות ומעשרות ותנן בפ""ק דקידושין (דף לו:) כל מצוה התלויה בארץ כלומר על הקרקע ופירותיו אינה נוהגת אלא בארץ וכל שאינה תלויה בקרקע בין בארץ בין בחו""ל ויליף מע""ז:"
Sanhedrin,69,2,"בפ""ק יבמות ","או אינו אלא אפי' בשבת - קאמר והומת דק""ו לאו פריכא הוא דהאי דקא אמרת מקבורת מת מצוה היא גופה תיקשי לן ונימא דתידחי שבת מק""ו מעבודה ת""ל מושבותיכם והכי מפרש לה בפ""ק דיבמות:"
