Masechet,Daf,Comment,References,Text
Bava Kamma,3,0,גופה,נגיפה - שדחפה בגופה והזיקה בכוונה:
Bava Kamma,9,0,גדיש,לפטור בו את הטמון - שאם היו בגדים טמונים בגדיש פטור המבעיר דכתיב ביה (שמות כב) או הקמה ודרשינן בשילהי הכונס צאן לדיר (לקמן בבא קמא דף ס.) מה קמה בגלוי אף כל גלוי לאפוקי טמון דלא מה שאין כן בשור ובור ומבעה ורבי יהודה קא פליג התם:
Bava Kamma,18,1,שק,"שייר טמון - דהוה ליה למתני חומר בשור ובור מבאש שאם בעט שור בשק מלא כלים ושברן חייב או אם נפל חמור בבור ועליו שק מלא תבואה חייב ואע""ג דטמון בשק מה שאין כן באש דנפקא לן (לקמן בבא קמא דף ס.) מאו הקמה דאינו חייב אלא בגלוי:"
Bava Kamma,25,0,שק,בשקדם וזכה בו אחר - לאחר שהזיק:
Bava Kamma,26,0,בפרק כיצד,רבי טרפון היא דאמר - לקמן בפרק כיצד (בבא קמא דף כד:):
Bava Kamma,30,0,בפרק כיצד,"הא קתני לקמן - בפרק כיצד דקמפרש לכולהו מועדין דפ""ק וקמפרש נמי שור המזיק ברשות הניזק כיצד:"
Bava Kamma,30,0,גופה,דלמא מן הצד - האי דקתני מועדת למעך לאו ברביצה אלא מן הצד כשהיא מהלכת ויש בצידה כלים ממעכתן בינה לכותל וזו היא שאמרנו הזיקה בגופה דרך הלוכה דהויא תולדה דרגל:
Bava Kamma,33,1,גופה,תנא אבות - רגל ממש שדרסה ברגליה וסיפא קתני תולדות הבהמה מועדת להלך כדרכה ולשבר בגופה ובשערה ובשליף שעליה דרך הלוכה דתולדות דרגל הן דהזיקה מצוי ואין כוונתה להזיק:
Bava Kamma,33,0,גופה,בתר מעיקרא - שדחפתו ובגופה תבר מנא:
Bava Kamma,35,0,גופה,"ובתר גופה גרירין - דבגופה טענה להו כגופה דמיין קמ""ל:"
