,Masechet,Daf,Line,Perek,Comment
0,Bava Kamma,4,1,המניח,בין לרב בין לשמואל - דפליגי בפרק המניח את הכד (לקמן בבא קמא דף כח:):
1,Bava Kamma,7,4,החובל,"וריפוי ושבת ובושת - כולהו יליף מקראי בפרק החובל (לקמן בבא קמא דף פה.) וכיון דכתיבי אבות נינהו:כל הנך דר' אושעיא הוא עצמו מזיק דהנך ד' שומרים הן עצמם הזיקו הואיל ולא שמרו כראוי ובנזקין דאזיק גופו לא קמיירי מתני':
"
2,Bava Kamma,7,1,מרובה,תנא ליה שומר חנם והשואל - דהתם נמי שייך גניבה כגון שטען שנגנב הימנו והרי היא בידו ואמרינן בפרק מרובה (לקמן בבא קמא דף סג:) דטוען טענת גנב כגנב וטוען טענת גזלן כגזלן והא דנקט הכא והשואל לאו דוקא דהא לא משכחת ביה דנפטר לא בטוען טענת גנב ולא בטוען טענת גזלן שהרי הוא חייב בכולו:
3,Bava Kamma,8,0,אלו נערות,תחת נתינה כו' - דבכולהו כתיב או תחת וגמרינן תחת תחת משור מועד דכתיב ביה שור תחת השור מה התם ממיטב דגמר משן ורגל דכתיב ביה מיטב שדהו אף כאן מיטב שאם בא לשלם קרקע לניזק בשביל הזיקו מגביהו מן העידית או נתינה וגמר נתינה נתינה משור שנגח את העבד דכתיב ביה יתן לאדוניו או ישלם וגמר משן ורגל דכתיב בהן מיטב כרמו ישלם או כסף וגמרי מבור דכתיב ביה כסף ישיב לבעליו וארבע אבות גמירי כולהו משן ורגל בשומר חנם כתיב אשר ירשיעון אלהים ישלם בשואל כתיב בעליו אין עמו שלם ישלם בנושא שכר כתיב אם גנוב יגנב מעמו ישלם שוכר אינו כתוב בתורה אבל דינו כנושא שכר בנזק דחובל בחבירו כתיב נתינה כן ינתן בו והיינו ממון הניתן מיד ליד כדדרשינן בהחובל (לקמן בבא קמא דף פד.) בצער כתיב פצע תחת פצע ודרשינן ליה לקמן בהחובל (בבא קמא דף פה.) פצע תחת פצע ליתן צער במקום נזק בריפוי ושבת כתיב נתינה שבתו יתן ורפא ובשבת כתיב תחת גבי אונס ומפתה דכתיב תחת אשר עינה ודרשינן בכתובות בפרק אלו נערות (כתובות דף מ:) חמשים כסף תחת העינוי מכלל דאיכא בושת ופגם לישנא אחרינא הואיל וכתיב בחובל בחבירו תחת דכתיב תחת פצע כולהו חמשה דברים דידיה מהתם גמרינן בתשלומי כפל כתיב ישלם שנים ובתשלומי ארבעה וחמשה כתיב חמשה בקר ישלם תחת וגו' וקרן דגנב בכלל כפל הוא ובגזל כתיב נתינה ונתן לאשר אשם לו (במדבר ה׳:ז׳) בעדים זוממין כתיב בהו נפש בנפש (דברים י״ט:כ״א) וכמאן דכתיב תחת דמי באונס ומפתה ומוציא שם רע כתיב כסף ונתן לאבי הנערה חמשים כסף (שם כב) היינו אונס מפתה כסף ישקול כמוהר הבתולות (שמות כ״ב:ט״ז) במוציא שם רע וענשו אותו מאה כסף (דברים כ״ב:י״ט) מטמא ומדמע ומנסך בכלל נזק הן ובנזק כתיב ביה תחת:
4,Bava Kamma,12,0,הנזקין,ובעל חוב דינו בבינונית - במס' גיטין בפרק הנזקין (גיטין ד' מח:):
5,Bava Kamma,13,1,הניזקין,"לבעל חוב מדמינן לה דבעל חוב דינו בבינונית - בפרק הניזקין במסכת גיטין (דף מח:) והשתא אם בא בעל חוב לגבות מן הלוה בתשרי וא""ל ללוה הב לי זיבורית טפי פורתא כי היכי דליהוי שוה מלוה דאית לי גבך כזולא דהשתא מצי אמר ליה אי שקלת כו' ואי לא שקלת בינונית שקול כיוקרא דלקמיה:"
6,Bava Kamma,13,0,הניזקין,לכתובת אשה מדמינן לה - וכגון שנתן לה גט בתשרי וזילו ארעתיה והיתה כתובתה מאתים ודינה למיגבי מזיבורית כדמסקינן התם בפרק הניזקין:
7,Bava Kamma,13,0,הניזקין,וכתובת אשה בזיבורית - במסכת גיטין בפרק הניזקין (גיטין דף מט:) תני טעמא דיותר משאיש רוצה לישא אשה רוצה לינשא:
8,Bava Kamma,18,0,הכונס,מה שאין כן באש - אש לא חייב בה שריפת אדם שהיה לו לברוח ואם כפות הוא המבעיר חייב מיתה וקם ליה בדרבה מיניה כדמפרש לקמן בפרק הכונס צאן לדיר (בבא קמא דף סא:):
9,Bava Kamma,18,0,שור שנגח,חייב בו את הכלים - אם שיברן בנגיחה או בבעיטה שהיא תולדה דקרן כלים אין ראויין לאש שאין דרך להסיק בכלים: פלוגתא דרבי יהודה ורבנן בפרק שור שנגח את הפרה (לקמן בבא קמא דף נג:):
10,Bava Kamma,18,0,שור שנגח,האחרון חייב - בין מת בו השור בין הוזק וטעמא מפרש לקמן מקראי בפרק שור שנגח את הפרה:
11,Bava Kamma,23,1,הזהב,"לרבות קדשים קלים - הא דכתיב בה' לרבות קדשים קלים שאם הפקיד בהמת שלמים אצל חבירו וכפר ונשבע והודה משלם קרן וחומש ואשם ואע""ג דבקדשי שמים אין נשבעין עליהן כדגרסינן בפרק הזהב (ב""מ דף נו.) בקדשים קלים נשבעין:"
12,Bava Kamma,24,0,שור שנגח,"אי אליבא דרבנן - דפליגי עליה דרבי נתן בפרק שור שנגח את הפרה (בבא קמא דף נג.) גבי שור שדחף את חבירו לבור [ואמרינן] בתם בעל השור משלם רביע ובעל הבור פטור מפני שזה הפילו ובמועד בעל השור משלם חצי ובעל הבור פטור אלמא כי ליכא לאשתלומי מבעל השור לא משתלם מבעל הבור ואע""פ שבו נמצא הנזק ופשיטא דאינו גובה מבשרן כנגד אימוריהן:"
13,Bava Kamma,26,0,כיצד,רבי טרפון היא דאמר - לקמן בפרק כיצד (בבא קמא דף כד:):
14,Bava Kamma,27,0,הזהב,"דבר השוה כל כסף - שנותנין עליו וקפריך מאי ניהו דאין להן אונאה מאי כל כסף דקאמרת דאין להן אונאה שאפילו קנאן ביותר מדמיהן שתות אין מוכר חייב להחזיר לו כדקאמרינן בפרק הזהב (ב""מ דף נו.) העבדים והשטרות והקרקעות אין להן אונאה אפילו קנאן ביותר מדמיהן:"
15,Bava Kamma,27,0,מרובה,"הניחא למ""ד כו' - פלוגתא הוא לקמן בפרק מרובה (בבא קמא דף עה.):"
16,Bava Kamma,28,0,הבא על יבמתו,עבד אין לו יחס - דאמרינן בפרק הבא על יבמתו (יבמות דף סב.) הכל מודים בעבד שאין לו יחס כדכתיב עם החמור עם הדומין לחמור:
17,Bava Kamma,28,1,שור שנגח,רבי יוסי הגלילי היא דאמר - בפרק שור שנגח את הפרה (לקמן בבא קמא דף מב.) תם משלם חצי כופר וליכא שיורא דאי משום דהאי משלם כופר שלם והאי לא משלם אלא פלגא כופר לאו שיורא הוא דהא תני לה תם משלם חצי נזק ומועד נזק שלם וכופר בכלל:
18,Bava Kamma,30,0,כיצד,"הא קתני לקמן - בפרק כיצד דקמפרש לכולהו מועדין דפ""ק וקמפרש נמי שור המזיק ברשות הניזק כיצד:"
19,Bava Kamma,34,0,שור שנגח,"וס""ל כר""י דאמר - לקמן במועד צד תמות במקומה עומדת לקמן בפרק שור שנגח ארבעה (בבא קמא דף מה:) והלכך גבי צרורות נמי לסומכוס דחשיב ליה מועד משלם החצי מגופו וכי קתני מגופו אצד תמות:"
20,Bava Kamma,38,1,מי שמת,"דמי שעורין בזול - כפי שהיה צריך ליקח שעורין למאכלה אם היה רוצה להאכילה שעורין ולא יתן לו כשער שבשוק דלמא איהו לא מאכיל לה שעורין אלא בזול יתן כדאמרינן בפרק מי שמת (ב""ב קמו:) וכל זוזא חשיב בארבע דנקי דהיינו שני שלישי הדמים:"
21,Bava Kamma,40,0,שור שנגח,"לימא - רב ושמואל בחופר בור ברשותו והפקיר רשותו ולא הפקיר בורו קמפלגי ובפלוגתא דרבי ישמעאל ור""ע דפליגי בה לקמן בפרק שור שנגח את הפרה (בבא קמא דף מט:) דרב סבר חייב ומשום הכי פטורה הך בהמה דזה ששטח שם פירותיו הוה ליה כמו בור שאם הוחלקה בהן בהמה חייב שהרי הפקיר רשותו הלכך לא היה לו לעשות כן וקי""ל בהמניח את הכד (לקמן בבא קמא דף ל.) כל המקלקלין ברשות הרבים שהזיקו חייבין לשלם וכל המחזיק בהן זכה:"
22,Bava Kamma,48,0,בנות כותים,"קרי בזב מניין - קריו של זב מניין שתהא הטיפה מטמא במגע ובמשא כטיפה של זוב דקי""ל במסכת נדה (דף נה.) שמטמא במשא וקרי לא דמי לזוב כדאמר בפרק בנות כותים (נדה דף לה:) זוב דומה ללובן ביצה המוזרת קרי דומה ללובן ביצה שאינה מוזרת:"
23,Bava Kamma,48,1,יוצא דופן,"ומה - רוק שהוא טהור באדם טהור הוי טמא ומטמא במשא באדם טמא כגון זב כדכתיב וכי ירוק הזב בטהור דמשמע במה שביד הטהור כדדרשינן במסכת נדה (דף נה:) דהיינו משא וכתיב וכבס בגדיו כו' קרי שטמא בטהור הטיפה מטמא במגע כדכתיב וכל בגד וכל עור אשר יהיה עליו שכבת זרע וגו' ואדם נמי מטמא במגע כדכתיב או איש אשר תצא ממנו שכבת זרע וגו' ודרשינן במסכת נדה בפרק יוצא דופן (נדה דף מג:) מנין לרבות את הנוגע בשכבת זרע ת""ל או איש אינו דין שיהא טמא בזב:
"
24,Bava Kamma,55,0,שור שנגח,לר' יהודה דמחייב על נזקי כלים בבור - בפרק שור שנגח את הפרה (לקמן בבא קמא דף נג:):
