Masechet,Daf,Comment,References,Text
Bava Kamma,2,0,True,"ולר""א דמחייב תרתי כו' - דאי עביד אב ותולדה דידיה מחייב תרתי חטאות במס' כריתות בפ' אמרו לו (כריתות דף טז.) כולהו אבות מלאכות ממשכן גמרינן להו במסכת שבת (דף מט:):"
Bava Kamma,12,1,True,"מי שהיו לו שדות בתים וכרמים - שוה מאתים זוז ותנן במסכת פאה (פ""ח מ""ח) מי שיש לו מאתים זוז לא יטול לקט שכחה ופאה ומעשר עני דלאו עני הוא ונמצא גוזל עניים היו לו מאתים זוז חסר דינר ונתנו לו שוה אלף זוז בבת אחת הרי זה יטול וזה יש לו בתים שדות וכרמים שוה מאתים זוז אבל אינו מוצא למכור מאכילין אותו מעשר עני עד מחצה שוה מאה זוז וקרקעותיו ימכור במאה זוז דטפי מפלגא לא זיילי לעולם והרי יש לו מאתים זוז:"
Bava Kamma,13,1,True,"לבעל חוב מדמינן לה דבעל חוב דינו בבינונית - בפרק הניזקין במסכת גיטין (דף מח:) והשתא אם בא בעל חוב לגבות מן הלוה בתשרי וא""ל ללוה הב לי זיבורית טפי פורתא כי היכי דליהוי שוה מלוה דאית לי גבך כזולא דהשתא מצי אמר ליה אי שקלת כו' ואי לא שקלת בינונית שקול כיוקרא דלקמיה:"
Bava Kamma,13,0,True,וכתובת אשה בזיבורית - במסכת גיטין בפרק הניזקין (גיטין דף מט:) תני טעמא דיותר משאיש רוצה לישא אשה רוצה לינשא:
Bava Kamma,14,0,True,"מן האחרון - דאפי' שקלו קמאי עידית ובינונית מצי מדחן להו הלקוחות לנזקין וב""ח אצל זיבורית דאמר הנחתי לך מקום לגבות הימנו ותנן במסכת גיטין (דף מח:) אין נפרעים מנכסים משועבדים במקום שיש בני חורין ואפי' הן זיבורית דכי זבון הני תרי קמאי אשתייר זיבורית בני חורין ואע""פ דהדר איזדבנא בתר בתרא אזלינן:"
Bava Kamma,15,2,True,אנא בהאי תקנתא לא ניחא לי - שקילו כדינייכו: דאמר רבא במסכת כתובות:
Bava Kamma,15,0,True,דאמר רבא - במסכת כתובות:
Bava Kamma,15,0,True,"וקמשתעי דינא בהדיה - דבעל חוב לסלקו מאותו קרקע בדברים אם יש לו לראובן שום תביעה על בעל חובו לומר פרעתיך דקיימא לן במסכת שבועות (דף מא.) דאע""ג דנקיט שטרא אי א""ל אישתבע לי דלא פרעתיך בעי אישתבועי:"
Bava Kamma,20,1,True,"דאין מקצת שליא בלא ולד - ומש""ה חוששת שמא רוב מיחוי הולד יצא באותו מקצת ומכי נפק רוב הוי ליה כילוד כדאמרינן במסכת נדה (דף כח.) יצא מחותך או מסורס עד שיצא רובו ומימנא ודאי לא מניא מראשון דשמא לא נפק רובא עד שני דאי יש מקצת שליא בלא ולד לא הוה חיישינן לטמא טהרות דכולי האי לא חיישינן דנימא תרי חומרי דלמא נפקא ורוב נפקא:"
Bava Kamma,23,0,True,"מעילה הוא - דבעינן דלא להוי בהו בנכסים שאני חייב בנזקין הא אי לית בהו מעילה אע""ג דמקדש קדשי [אני] חייב בנזקין כגון קדשים קלים שאין בהן מעילה מחיים אלא באימורין לאחר זריקת דם כדגרסינן במסכת מעילה (דף ז:):"
Bava Kamma,23,1,True,"ואליבא דר""ש דאמר - במסכת תמורה (דף כא.):"
Bava Kamma,27,0,True,כדאמר רבא אמר רב נחמן - במסכתא כתובות בפרק הכותב:
Bava Kamma,39,1,True,נטל אבן או קורה - מפרש במסכת מעילה דבגזבר עסקינן:
Bava Kamma,48,0,True,"קרי בזב מניין - קריו של זב מניין שתהא הטיפה מטמא במגע ובמשא כטיפה של זוב דקי""ל במסכת נדה (דף נה.) שמטמא במשא וקרי לא דמי לזוב כדאמר בפרק בנות כותים (נדה דף לה:) זוב דומה ללובן ביצה המוזרת קרי דומה ללובן ביצה שאינה מוזרת:"
Bava Kamma,48,1,True,"ומה - רוק שהוא טהור באדם טהור הוי טמא ומטמא במשא באדם טמא כגון זב כדכתיב וכי ירוק הזב בטהור דמשמע במה שביד הטהור כדדרשינן במסכת נדה (דף נה:) דהיינו משא וכתיב וכבס בגדיו כו' קרי שטמא בטהור הטיפה מטמא במגע כדכתיב וכל בגד וכל עור אשר יהיה עליו שכבת זרע וגו' ואדם נמי מטמא במגע כדכתיב או איש אשר תצא ממנו שכבת זרע וגו' ודרשינן במסכת נדה בפרק יוצא דופן (נדה דף מג:) מנין לרבות את הנוגע בשכבת זרע ת""ל או איש אינו דין שיהא טמא בזב:
"
Bava Kamma,48,0,True,למעלה מהן - משלשה אבות הטומאות דשרץ ושכבת זרע וטמא מת דקתני לעיל מהך מתני' במסכת כלים ואינם מטמאין אלא במגע:
Bava Kamma,65,1,True,"כדרבי אבהו - דאמר במסכת ערכין (דף כג:) גבי מקדיש נכסיו והיתה עליו כתובת אשה ובעל חוב וקתני התם דיהיב להקדש מידי פורתא וגבי בעל חוב דיליה ואמר ר' אבהו דהא דבעי למיתב להקדש מידי משום גזירה שמא יאמרו הקדש גמור יוצא לחולין בלא פדיון:
"
Bava Kamma,72,0,True,"אין צריכין פרוזבול - דבלאו הכי לא משמט שביעית לחוב שלהן דאנן ידייהו דיתמי אנן ורמי עלן להפוכי בזכותייהו הלכך שטרות שלהן כמסורים לב""ד דמי ותנן המוסר שטרותיו לב""ד אין משמיטין וזהו גופו של פרוזבול מוסרני לכם פלוני ופלוני הדיינין במסכת גטין (דף לו.) להכי נקט ר""ג דנשיא הוה ובית דינו ב""ד חשוב:
"
Bava Kamma,96,0,True,וצער בפני עצמו - ונזקא דהכא כחבלה דעלמא הקצוב במסכת כתובות כדפרישית לעיל:
Bava Kamma,104,2,True,רבי נתן אב בית דין - במסכת הוריות בסופה:
Bava Kamma,104,0,True,"רבי נתן אב בית דין - במסכת הוריות בסופה:
"
Bava Kamma,110,1,True,העושה מלאכה במי חטאת - ששקל כנגדן משקלות במסכת גיטין (דף נג.) והן נפסלין במלאכה:
Bava Kamma,120,0,True,"מתני' דרך הרבים - י""ו אמות מעגלות דדגלי מדבר ילפינן במסכת שבת (ד' צח:): גמ' תנא דידן קא חשיב מלמעלה למטה שש אמות או חמש אמות או ד' אמות פטור. דס""ל עד ועד בכלל:
"
Bava Kamma,120,0,True,"מתני' דרך הרבים - י""ו אמות מעגלות דדגלי מדבר ילפינן במסכת שבת (ד' צח:): גמ' תנא דידן קא חשיב מלמעלה למטה שש אמות או חמש אמות או ד' אמות פטור. דס""ל עד ועד בכלל:"
