Masechet,Daf,Comment,References,Text
Bava Kamma,8,0,כתובות,תחת נתינה כו' - דבכולהו כתיב או תחת וגמרינן תחת תחת משור מועד דכתיב ביה שור תחת השור מה התם ממיטב דגמר משן ורגל דכתיב ביה מיטב שדהו אף כאן מיטב שאם בא לשלם קרקע לניזק בשביל הזיקו מגביהו מן העידית או נתינה וגמר נתינה נתינה משור שנגח את העבד דכתיב ביה יתן לאדוניו או ישלם וגמר משן ורגל דכתיב בהן מיטב כרמו ישלם או כסף וגמרי מבור דכתיב ביה כסף ישיב לבעליו וארבע אבות גמירי כולהו משן ורגל בשומר חנם כתיב אשר ירשיעון אלהים ישלם בשואל כתיב בעליו אין עמו שלם ישלם בנושא שכר כתיב אם גנוב יגנב מעמו ישלם שוכר אינו כתוב בתורה אבל דינו כנושא שכר בנזק דחובל בחבירו כתיב נתינה כן ינתן בו והיינו ממון הניתן מיד ליד כדדרשינן בהחובל (לקמן בבא קמא דף פד.) בצער כתיב פצע תחת פצע ודרשינן ליה לקמן בהחובל (בבא קמא דף פה.) פצע תחת פצע ליתן צער במקום נזק בריפוי ושבת כתיב נתינה שבתו יתן ורפא ובשבת כתיב תחת גבי אונס ומפתה דכתיב תחת אשר עינה ודרשינן בכתובות בפרק אלו נערות (כתובות דף מ:) חמשים כסף תחת העינוי מכלל דאיכא בושת ופגם לישנא אחרינא הואיל וכתיב בחובל בחבירו תחת דכתיב תחת פצע כולהו חמשה דברים דידיה מהתם גמרינן בתשלומי כפל כתיב ישלם שנים ובתשלומי ארבעה וחמשה כתיב חמשה בקר ישלם תחת וגו' וקרן דגנב בכלל כפל הוא ובגזל כתיב נתינה ונתן לאשר אשם לו (במדבר ה׳:ז׳) בעדים זוממין כתיב בהו נפש בנפש (דברים י״ט:כ״א) וכמאן דכתיב תחת דמי באונס ומפתה ומוציא שם רע כתיב כסף ונתן לאבי הנערה חמשים כסף (שם כב) היינו אונס מפתה כסף ישקול כמוהר הבתולות (שמות כ״ב:ט״ז) במוציא שם רע וענשו אותו מאה כסף (דברים כ״ב:י״ט) מטמא ומדמע ומנסך בכלל נזק הן ובנזק כתיב ביה תחת:
Bava Kamma,19,1,סנהדרין,שקירב מיתתו - ופלוגתייהו דרבי יהודה בן בתירא ורבנן מפ' בסנהדרין בפרק אלו הן הנשרפין (דף עח.) ר' יהודה סבר כי יכה כל נפש אדם כתיב דמשמע כל דהו נפש ורבנן סברי כולה נפש משמע והיינו הכשרתי במקצת נזקו דומיא דחופר בור שהראשון הזיק והאחרון הרג:
Bava Kamma,106,0,בכורות,שור פסולי המוקדשין - שנפדה אין המיתה שלו דקיימא לן בבכורות בפרק ב' (דף טו.) גבי פסולי המוקדשין לאחר פדיונו תזבח ולא גיזה בשר ולא חלב ואכלת ולא לכלביך:
Bava Kamma,198,0,סנהדרין,שנשא ונתן ביד - וזיכה את החייב שהיה לו משכון למלוה ממנו ונטל דיין למשכון והחזירו ללוה וחייב את הזכאי נטל ביד ממון מן הנתבע ושילם לתובע וטימא את הטהור נטל שרץ בידים וזרקו עליה לטמאו ודאי להחזיק דבריו וטיהר את הטמא נטל הדיין לפירות טמאים וערבן עם שאר פירות האיש השואלו והוה ליה עושה מעשה בידים ומזיק והכי מפרש בסנהדרין בפרק אחד דיני ממונות (סנהדרין דף לג.):
Bava Kamma,219,2,שחיטת חולין,והמורם מאיל נזיר - זרוע בשלה וחלה ורקיק וחזה ושוק של שלמים בכלל תודה הוא דתודה שלמים אקרי והנך תרתי תודה ואיל נזיר משום דדמיין להדדי חשיב להו בחדא כדאמר בשחיטת חולין בפרק הזרוע:
Bava Kamma,235,1,מנחות,"ועגלים - הרועים בשרון ברחבה לעין כל מאחר שמוכרין בפרהסיא לא גנבום. ל""א שרון שם מקום ומקום גידול עגלים הוא ולוקחין עגלים בזול ומגדלין אותן ושלהן הן לשון זה עיקר דתניא במנחות בפרק כל קרבנות (מנחות דף פז.) אילים ממואב וכבשים מחברון עגלים משרון:"
Sanhedrin,100,0,יבמות,"כי תחל לזנות - כשהיא מתחללת על ידי זנות וזו נתחללה כבר ע""י נשואין שנשאת לחלל לנתין ולממזר נתחללה מן התרומה אפי' ימות וזרע אין לה לא תשוב עוד אל בית אביה כנעוריה ונפסלת נמי מן הכהונה שלא תינשא עוד לכהן וכולה יליף ביבמות בפרק אלמנה (דף סח.):"
Sanhedrin,108,1,יבמות,לדרשא אתא - ביבמות בפרק הבא על יבמתו (יבמות דף נד:) דהא כתיבא בכל חד וחד באנפי נפשיה בפרשת עריות באחרי מות והדר כתיב בקדושים תהיו:
Sanhedrin,123,1,בבא מציעא,"דא""ר יוחנן - בבבא מציעא בפרק המפקיד:"
Sanhedrin,149,0,יבמות,אי - כיון דאמרת מניין לעשות שאר הבא הימנו כשאר הבא הימנה נימא מה היא אם אמה אסורה לו אף הוא אם אמו אסורה לו משום ערוה ואנן גבי שניות מדברי סופרים (תנן) לה ביבמות בפרק כיצד (דף כא.):
Sanhedrin,219,0,כתובות,משעה שנזרע - משעה שנקלט הזרע במעי אשה אפילו הפילה אמו ונמחה יש לו חלק לעתיד דכתיב זרע יעבדנו והכי אמר בכתובות בפרק בתרא (דף קיא.) נבלתי יקומון לרבות נפלים:
Sanhedrin,221,0,"ב""ב","חולקין עיר אחת - בתחלה כשחלקו ישראל את הארץ היו רשאין ליתן ולחלוק עיר א' לב' שבטים כגון אם אירע להם עיר בתחום ומקצת מושכת לתחום אחר שבט אחד נוטל חלק באותו קצת הארץ ע""פ הגורל נחלקה הארץ אם נפתלי עולה תחום גינוסר עולה עמו דהכי אמרינן בב""ב בפרק י""נ ומנחילין (דף קכב.):"
Bava Batra,32,0,בבא קמא,בור שיח ומערה - מפורשים בבבא קמא בפרק שור שנגח את הפרה (דף כ:):
Avodah Zarah,34,2,"ב""ק","מתרחנא מרתח - כלומר אמתין לך עד שיפסוק ליך ודוגמתו בב""ק בפרק מרובה (בבא קמא דף פ:) מאן תרח נתרח שמואל:"
Avodah Zarah,72,0,"ב""ב","כר' יוסי - בב""ב בפרק יש נוחלין (בבא בתרא דף קלו.) הכותב כל נכסיו לבנו לאחר מותו צריך שיכתוב מהיום ולאחר מיתה דלהוי משמע גופא מהיום שלא אהא רשאי למכרם ופירא לאחר מיתה ואם לא כתב מהיום אלא לאחר מיתה לא אמר כלום ויירשו אחיו עמו או אם היה עליו בע""ח מאוחר לאחר מתנה זו בע""ח גובה את חובו רבי יוסי אמר אינו צריך דלהכי כתיב זמן בשטר לומר מעכשיו תהא מתנה מגופה של קרקע ופירות לאחר מיתה דאי לא בעי למיתב ליה אלא לאחר מיתה למה כתב זמן בשטר. וה""נ זמנו של גט מוכיח דה""ק ליה מעכשיו יהא גט אם לא באתי ותנאה בעלמא הוא וכי לא אתא איקיים תנאה:"
Avodah Zarah,81,2,שחיטת חולין,שבקיה איסריה לדגון - גבורת ושררת הצלם עזבתו והלכה וישבה על המפתן. איסריה שר שלו כמו איסריה דעניותא (בשחיטת חולין בפרק כל הבשר (חולין דף קה)):
Avodah Zarah,91,2,שקלים,רקועים - טסי זהב שעושין ציפוי לכותל היכל לבית קדשי הקדשים כדאמרינן בשקלים בפרק התרומה דכיון דנוי הוא מיתסר:
Makkot,24,0,זבחים,והשוחט - קדשים בחוץ או המעלה קדשים בחוץ אזהרת מעלה השמר לך פן תעלה וגו' (דברים י״ב:י״ג) אזהרת שוחט ילפינן בזבחים בפרק השוחט והמעלה (זבחים דף קו.) איכא דיליף מלא יזבחו עוד וגו' ואיכא דיליף לה מגזירה שוה דהבאה הבאה שוחט ממעלה:
Makkot,33,0,יבמות,בכורים - מותרים לאונן לר' שמעון ביבמות בפרק הערל (יבמות דף עג:):
Yevamot,57,5,כתובות,גובה כתובתה - ובדכתב לה מן האירוסין מיתוקמא בכתובות בפרק הכותב (כתובות דף פט:):
Yevamot,65,0,יומא,"בשחיטת פרו של כ""ג - ביום הכפורים דשחיטה אב מלאכה היא ומשום זרות נמי איכא כדברי האומר ביומא בפרק טרף בקלפי (יומא דף מב.) שחיטת פרו בזר פסולה:"
Yevamot,109,0,שבועות,"הניחא למ""ד - בשבועות בפרק ידיעות הטומאה:"
Yevamot,135,0,סנהדרין,ר' עקיבא דורש ווין - בסנהדרין בפרק ד' מיתות (סנהדרין ד' נא:) ישמעאל אחי בת ובת אני דורש:
Kiddushin,45,1,נדרים,שלוחי דרחמנא נינהו - ולא שלוחי דידן ונפקא מינה למודר הנאה מכהן שהכהן מותר להקריב קרבנותיו והא מילתא איבעיא לן בנדרים בפרק אין בין המודר (נדרים דף לה:):
