Masechet,Daf,Comment,References,Text
Bava Kamma,7,1,בבא מציעא,"שומר חנם - חייב בפשיעה והשואל חייב אפילו באונסין ושוכר ונושא שכר חייבים בגניבה ואבידה וכ""ש בפשיעה וכולהו כתיבי כדתני בפרק השואל בבבא מציעא (דף צד:) פרשה ראשונה נאמרה בשומר חנם שניה בשומר שכר שלישית בשואל הלכך אבות נינהו ולקמן בעי מאי נינהו תולדות:"
Bava Kamma,7,3,חולין,מדמע - תרומה בחולין:
Bava Kamma,8,0,סנהדרין,"לגזיזיה - לכח אגרופו כדאמר בסנהדרין בפ""ק (דף ז.) אדייה לגזיזה וקם:"
Bava Kamma,8,0,כתובות,אונס ומפתה דממונא הוא - שחמשים כסף לבד הוי קנס אבל יש בו פגם ששוה עכשיו פחות מדמעיקרא כדאמר בכתובות (דף מ.) ובושת דממונא הוא:
Bava Kamma,8,0,"שבת, כתובות",תחת נתינה כו' - דבכולהו כתיב או תחת וגמרינן תחת תחת משור מועד דכתיב ביה שור תחת השור מה התם ממיטב דגמר משן ורגל דכתיב ביה מיטב שדהו אף כאן מיטב שאם בא לשלם קרקע לניזק בשביל הזיקו מגביהו מן העידית או נתינה וגמר נתינה נתינה משור שנגח את העבד דכתיב ביה יתן לאדוניו או ישלם וגמר משן ורגל דכתיב בהן מיטב כרמו ישלם או כסף וגמרי מבור דכתיב ביה כסף ישיב לבעליו וארבע אבות גמירי כולהו משן ורגל בשומר חנם כתיב אשר ירשיעון אלהים ישלם בשואל כתיב בעליו אין עמו שלם ישלם בנושא שכר כתיב אם גנוב יגנב מעמו ישלם שוכר אינו כתוב בתורה אבל דינו כנושא שכר בנזק דחובל בחבירו כתיב נתינה כן ינתן בו והיינו ממון הניתן מיד ליד כדדרשינן בהחובל (לקמן בבא קמא דף פד.) בצער כתיב פצע תחת פצע ודרשינן ליה לקמן בהחובל (בבא קמא דף פה.) פצע תחת פצע ליתן צער במקום נזק בריפוי ושבת כתיב נתינה שבתו יתן ורפא ובשבת כתיב תחת גבי אונס ומפתה דכתיב תחת אשר עינה ודרשינן בכתובות בפרק אלו נערות (כתובות דף מ:) חמשים כסף תחת העינוי מכלל דאיכא בושת ופגם לישנא אחרינא הואיל וכתיב בחובל בחבירו תחת דכתיב תחת פצע כולהו חמשה דברים דידיה מהתם גמרינן בתשלומי כפל כתיב ישלם שנים ובתשלומי ארבעה וחמשה כתיב חמשה בקר ישלם תחת וגו' וקרן דגנב בכלל כפל הוא ובגזל כתיב נתינה ונתן לאשר אשם לו (במדבר ה׳:ז׳) בעדים זוממין כתיב בהו נפש בנפש (דברים י״ט:כ״א) וכמאן דכתיב תחת דמי באונס ומפתה ומוציא שם רע כתיב כסף ונתן לאבי הנערה חמשים כסף (שם כב) היינו אונס מפתה כסף ישקול כמוהר הבתולות (שמות כ״ב:ט״ז) במוציא שם רע וענשו אותו מאה כסף (דברים כ״ב:י״ט) מטמא ומדמע ומנסך בכלל נזק הן ובנזק כתיב ביה תחת:
Bava Kamma,16,0,יבמות,ורביע במעות - או רביעית במעות כמו דתנן ביבמות (דף נ:) חלץ ועשה בה מאמר ונתן גט ובעל:
Bava Kamma,18,0,בכורות,"שור פסולי המוקדשין - שנפדה ונפל בבור פטור בעל הבור דכתיב (שמות כ״א:ל״ד) בעל הבור ישלם והמת יהיה לו יצא זה שאין המת שלו דאע""ג דנפדה אם מת אסור להאכילו לכלבים כדאמרינן בבכורות (דף טו.) תזבח ולא גיזה בשר ולא חלב ואכלת ולא לכלבים ובפסולי המוקדשין הכתוב מדבר ואם נגחו שור חייב דהא כתיב שור רעהו וכיון דנפדה שור רעהו קרינא ביה ואע""ג דבשור נמי כתיב והמת יהיה לו מוקמי' ליה לקמן לבעלים מטפלים בנבילה:"
Bava Kamma,19,1,סנהדרין,שקירב מיתתו - ופלוגתייהו דרבי יהודה בן בתירא ורבנן מפ' בסנהדרין בפרק אלו הן הנשרפין (דף עח.) ר' יהודה סבר כי יכה כל נפש אדם כתיב דמשמע כל דהו נפש ורבנן סברי כולה נפש משמע והיינו הכשרתי במקצת נזקו דומיא דחופר בור שהראשון הזיק והאחרון הרג:
Bava Kamma,20,0,בבא מציעא,מדאמרי ליה רב כהנא ורב אסי - בבבא מציעא בפ' השואל (דף צו:):
Bava Kamma,22,0,גיטין,פרוזבול - מפרש בגיטין (דף לו.) שתיקן הלל הזקן פרוזבול כדי שלא תשמט שביעית המלוה:
Bava Kamma,24,0,מנחות,שלמים - שטעונין סמיכה ונסכים מנחת נסכים שלשה עשרונים לפר ושני עשרונים לאיל ועשרון לכבש כדמפרש במנחות בפ' כל [המנחות] (דף סא.) אבל בכור לא:
Bava Kamma,24,0,בכורות,במעשר נאמר לא יגאל - וגמרינן בבכורות בפ' [חמישי] (דף לב.) האי לא יגאל מלא יגאל דחרמים דכתיב בהן לא ימכר ולא יגאל מה להלן מכירה עמו אף כאן מכירה עמו הלכך אינו נמכר לא חי ולא שחוט כו' אלמא לאו ממון בעלים הוא:
Bava Kamma,32,1,"ר""ה","או שהיו צרורות מנתזין כו' - אע""ג דלאו שינוי הוא אלא אורחיה הוא אפ""ה ח""נ ותו לא דהלכתא גמירי להו וברשות הניזק קאמר דברה""ר פטור כדאוקימנא בריש פ""ק (דף ג:) דצרורות תולדה דרגל לפוטרו בר""ה:"
Bava Kamma,45,5,יומא,וקביל זוזך - אפילו ביומא דלאו דשוקא שחיט להו הואיל ולשחיטה קיימן:
Bava Kamma,51,1,שבת,"לענין שבת פטור - ואע""ג דמקריא שגגה לענין גלות פטור בשבת דבעינן מלאכת מחשבת שנתכוין לעשות מלאכה וכסבור שהיום חול וזה לא נתכוין:"
Bava Kamma,54,0,פאה,"חייב בפרט ובעוללות וכו' - אע""ג דהפקר פטור מפאה דתנן (פאה פ""א מ""ד) כל שהוא אוכל ונשמר חייב במעשר ובפאה אפ""ה כי האי הפקר חייב בכל הני כדמפרש טעמא בהגוזל עצים (לקמן בבא קמא צד.) דכתיב ביה תעזוב יתירא ופטור ממעשר. דלא כתיב ביה תעזוב יתירא אלמא הפקר כל דהו פטור ממעשר כדתנן כל שהוא אוכל ונשמר חייב במעשר:"
