Masechet,Daf,Comment,References,Text
Bava Kamma,115,1,כתובות,גוזרי גזירות - קונסי קנסות אדמון וחנן בן אבשלום בפרק בתרא דכתובות:
Bava Kamma,136,2,סנהדרין,"וראיה - בפרק שני דסנהדרין:
"
Bava Kamma,151,0,בכורות,יש נותר שמטמא כו' - לרבי שמעון איסורי הנאה אין מטמאין טומאת אוכלין דדריש מכל האוכל אשר יאכל אוכל שאתה יכול להאכילו לאחרים או לנכרי או לישראל קרוי אוכל בפרק קמא דבכורות (ד' ט:) ואם היתה לה שעת היתר הנאה משנשחטה ירדה עליו דין קבלת טומאה ואפילו נאסר לאחר כן מקבלת טומאה:
Bava Kamma,154,1,בכורות,דר' יהושע - בפרק קמא דבכורות (דף ז.):
Bava Kamma,155,0,מנחות,"גנב פטר עצמו - דאתשלומין דבעלים מחייב והרי הוציאו ידי נדרו ואפסידא דהקדש מיפטר דמבית האיש כתיב ולא הקדש ואליבא דר' שמעון נקט לה דאמר קדשים שחייב באחריותן חייב פלוגתייהו דרבנן ור""א וטעמייהו בפרק בתרא דמנחות:"
Bava Kamma,167,0,סנהדרין,מידי דהוה אהודאות והלואות - דאמר בפרק קמא דסנהדרין (ד' ג.) דלא בעינן מומחין שלא תנעול דלת בפני לווין הודאות הבא לידון בעדי הודאה שאמרו בפנינו הודה לו והלואות שבא לידון בעדי הלואה שאומרים בפנינו הלוה לו:
Bava Kamma,186,2,חולין,"חייב בפרט כו' - דאע""ג דהפקר פטור מכולם דכתיב ארצך שדך וכרמך מהני תעזוב יתירא למעוטי כי האי גוונא דלא הוי הפקר לפטור ואע""ג שפטור מן המעשר ובכל הני כתיב תעזוב יתירא בקדושים כתיב כרמך לא תעולל ופרט כו' ובמשנה תורה (כד) כתיב כי תבצור כרמך לא תעולל וכן לא תפאר אחריך דהיינו פרט תפאר אישקוביי""ר ופאה נמי מהכא משמע דתנא דבי ר' ישמעאל (חולין דף קלא.) שלא תטול תפארתו ממנו שכחה כתיב במשנה תורה (שם) לא תשוב לקחתו וגו' ובאילן כתיב לא תפאר אחריך ואמר מר בפרק י' דחולין (שם) אחריך זו שכחה ולא בעי למיהדר ומכתב באילן לגר ליתום אלא לא תפאר אחריך ואנא ידענא דלעניים הוא כדאשכחן בעמרים אבל במעשר לא כתיב תעזוב יתירא:"
Bava Kamma,236,0,"ע""ז","חמיר מגופו - דקיימא לן בפרק שני דע""ז (דף כו:) דמותר לאבד גופו בידים דקתני המינין והמסורות מורידין אותן לבור ולא מעלין:"
Sanhedrin,104,0,יבמות,איסור מצוה כו' - יבמה שנפלה לפני יבם והיא אסורה עליו משום מצוה או משום קדושה חולצת ואינה יוצאה בלא כלום אף על גב דגבי חייבי כריתות קיימא לן בפרק קמא דיבמות (דף ג:) מגזרה שוה דעליה דיוצאה הימנו בלא כלום בלא חליצה התם הוא דאסורה ליה איסור חמור דלא תפסי ביה קדושי אבל איסור מצוה או קדושה דבנות קדושין נינהו מרבינן התם (דף כ.) מיבמתו יבמתו יש לך אחרת שעולה השערה לחלוץ ואינה עולה ליבום ואיזו זו חייבי לאוין:
Sanhedrin,108,0,תמורה,"לישראל נמי תתסר מידי דהוה ארביעה - דאסרינן לה ומקטלא וכי איצטריך למיסר נעבד לגבוה כגון נעבד על פי עד אחד או ע""פ הבעלים דגברא לא מקטיל ואיהי נמי לא מקטלא דהא רובע ונרבע אסר להו קרא לגבוה וקשיא לן למה לי קרא ממשקה ישראל כתיב מן המותר לישראל ואוקים בנרבע על פי אחד או על פי הבעלים דגברא לא מקטיל ואיהי נמי לא מקטלא בפרק ששי דתמורה (שם):"
Sanhedrin,133,2,יבמות,שקל ספסירא וגיידיה לגמליה - נטל חרב וחתך גמל לאברים גיידיה כמו ראוהו מגוייד דבפרק בתרא דיבמות (דף קכ:):
Sanhedrin,137,2,יבמות,פסלה מן הכהונה - ומשויא לה זונה דהעראה כגמר ביאה כדאמרי' בגמ' דיבמות (דף נד.) ובפרקין דלעיל (סנהדרין דף נה.) ומיהו מיתה לא מחייבו כגון שלא התרו בהן:
Sanhedrin,166,0,זבחים,"ולא לישיבה - דכיון דלא נבחר הוה ליה כזר ובפ""ב דזבחים (דף כג:) רמינן מכדי יושב כזר דמי ומיחל עבודה אימא במיתה הוא כזר אלמה תניא אינו במיתה והתם מפרק לה משום דהוי זר ושלא רחץ ידים ורגלים ושתויי יין שלשה כתובים הבאים כאחד דכתיב בהו מיתה ואין מלמדין:"
Sanhedrin,219,0,כתובות,קטני בני רשעי ישראל - רשעי ישראל עצמן פשיטא דאין להם חלק לעולם הבא כדאמרינן בפרק בתרא דכתובות (דף קיא:) רפאים בל יקומו מי שמרפה עצמו מדברי תורה אבל בנים שלהם קטנים ולא חטאו פליגי בהו:
Bava Batra,42,1,בכורות,שמעתתא דמעשר בהמה - בפרק אחרון דבכורות ורבא אמרינהו בסופא דפירקא:
Avodah Zarah,48,0,זבחים,"דמחית - מניח חזה על השוק גבי חזה ושוק של שלמים בשעת תנופה וההיא סעודתא אע""פ דזבח הוה כדכתיב (שמואל א ט׳:י״ג) כי הוא יברך (את) הזבח לא הוה חזה ושוק דידהו לכהן דבמה קטנה הוה וקיימא לן בפרק בתרא דזבחים (דף קיט:) חזה ושוק בבמה גדולה ואין חזה ושוק בבמה קטנה:"
Avodah Zarah,56,4,מכות,אפר מקלה - דמכות פרק בתרא לא יתן אדם אפר מקלה על גבי מכתו מפני שנראית ככתובת קעקע. אפר מקלה אפר הכירה שקלוי ושרוף מאד ושחור ונראה ככתובת קעקע:
Makkot,24,1,יומא,האוכל ביום הכפורים - ויליף אזהרתיה בפרק בתרא דיומא (דף פא.):
Yevamot,80,2,כתובות,חוץ מארוסה שביהודה - דתנן פרק קמא דכתובות (דף יב.) ביהודה היו מייחדים החתן והכלה קודם כניסתן לחופה כדי שיהא לבו גס בה כלומר רגיל ומצחק עמה שלא יהיו בושין זה מזה בבעילת מצוה הלכך חיישינן דלמא בעיל:
Yevamot,141,3,יומא,מעוי - צועק כמו עוי עוי ולא אשגחו ביה בפרק בתרא דיומא (דף עז.):
Yevamot,179,0,שבת,"וכבשי עצרת - לא קבלתי מרבותי ומ""מ כך נראה בעיני וכשר הדבר ששנו בתוספתא ומייתי לה במסכת ביצה בגמרא פרק שני (דף כ:) כבשי עצרת ששחטן שלא לשמן הדם יזרק והבשר יאכל דכל הזבחים שנזבחו שלא לשמן כשרין אלא שלא עלו לבעלים לשם חובה והרי הן כשלמים דעלמא ואם היתה שבת שחלה עצרת בשבת וניתנה שבת לדחות אצל לשמן וטעה זה ושגג בשלא לשמן לא יזרוק ואם זרק הורצה כו'. והא הכא דזריקה בשבת שבות בעלמא הוא כדשנינן התם שאני שבות דשבת כו' וקתני לא יזרוק ועקרא שבות דרבנן ג' עשה דזריקת דם ודהקטרת אימורים ודאכילת בשר אלא שב ואל תעשה שאני: "
Yevamot,222,0,נדרים,האומרת טמאה אני לך - אשת כהן שאמרה לבעלה נאנסתי דאיתסרא עליה וכתובתה לא מיפסדה ובאשת כהן מוקמינן לה בפרק בתרא דנדרים:
Kiddushin,64,2,יומא,"רב נחמן משדר גוזאי - סריסים שהיו תמיד לפניו לפי שהיה שר חתן הנשיא ואב ב""ד היו רגילין לעמוד לפניו משרתים להכות ולכוף מאן דלא ציית דינא וכשהיו זקנים עוברים לפניו היה שולח הנך סריסים להחזיק בידם אבל הוא עצמו לא שלא לזלזל בתורתו דאמר אי לאו תורה כמה נחמן איכא בשוקא הלכך אין חשיבותי בשביל עצמי אלא בשביל תורה ואית דמפרשי אביי יהיב ידא לסבי מכבד עצמו בזקנים ופושט להם ידו שישען הוא עליהם רבא משדר שלוחיה שיצאו לקראתו לכבודו וכן רב נחמן וליתא דכל היכא דגרסי' יהיב ידא להשען אחרים עליו קאמר ולא להשען הוא על אחרים כדאמר בפרק קמא דיומא (דף ט:) ריש לקיש הוה סחי בירדנא אתא רבה בר בר חנה יהיב ליה ידא שישען ר' שמעון בן לקיש עליו ויצא לשפת הנהר:"
Kiddushin,68,0,עירובין,הניחא כו' - פלוגתא היא במסכת שבת (דף סא.) ובפרק בתרא דעירובין (דף צה:):
Kiddushin,102,0,עירובין,"יע""ל קג""ם - סימני הלכות הן שנחלקו בהם אביי ורבא ובכל מקום הלכה כרבא חוץ מאלו יאוש שלא מדעת באלו מציאות (ב""מ דף כא:) ועד זומם אביי אמר למפרע הוא נפסל בפרק [זה בורר] (סנהדרין דף כז.) לחי העומד מאיליו בפ""ק דעירובין (דף טו.) קדושין שלא נמסרו לביאה בשמעתין גילוי דעתא בגיטא בהשולח (גיטין דף לד.) מומר אוכל נבילות לתיאבון בפ' [זה בורר] (דף כז.):"
Niddah,66,1,"עדיות, נדה","בית שמאי אומרים כרוקה וכמימי רגליה - מטמא לח ואינו מטמא יבש והכי תני לה בהדיא בתוספתא דעדיות דנדה כל זמן שלא טבלה הרי היא בנדתה לכל דבריה הלכך רוקה ומימי רגליה בטומאתן ולקמן בפרק דם הנדה (נדה נו.) ילפינן מקראי דאין רוק של זב מטמא יבש ודמה נמי אף על גב דדם טוהר הוא לבית שמאי כדאמר בגמרא דביומי תליא רחמנא והא מלו ומשום מעיין נמי ליכא לטמויי דהא אין מתעגל ויוצא אפילו הכי רבנן גזור עליה הואיל וטמאה היא גזרה לאחר ז' אטו תוך ז' ומיהו לא גזור עליה שיטמא לח ויבש כלפני ז' דעבוד בה היכרא דלידעו דטומאתה מדרבנן ולא נשרוף עליה תרומה וקדשים. ואע""ג דגבי דם עובדת כוכבים לא אמרי בית שמאי הכי אלא מטהרי לגמרי והיינו טעמא כדאמר בגמרא משום דחיישינן דלמא אתי לחלק בשל תורה ולמימר מטמא לח ולא יבש התם הוא דכל טומאת עובד כוכבים דרבנן כדי שלא יהו ישראל רגילין אצלן במשכב זכור וכיון דטמאו מגען ורוקן ומימי רגליהן ואיכא הרחקה טובא הלכך טהרו את דמה לגמרי להיכרא דלידעו דטומאת רוקה ומימי רגליה דרבנן דלא נשרוף תרומה עלייהו ולא חלקו בדמה דילמא אתי לחלק בשל תורה אבל הכא אין כאן מדרבנן אלא דם לבדו שהוא דם טוהר הלכך גזור ושיור בה להיכרא דליכא למיחש דלמא אתי לחלוקי בשל תורה דהכל יודעין דכיון דעברו ימי לידתה דדם טוהר הוא:"
