Masechet,Daf,Comment,References,Text
Bava Kamma,3,0,גופה,נגיפה - שדחפה בגופה והזיקה בכוונה:
Bava Kamma,5,0,המניח,"אי דלא אפקרינהו לשמואל דאמר - התם בהמניח את הכד (לקמן בבא קמא דף כח:) כל תקלה בור הוא ואע""ג דלא הפקיר היינו בור:"
Bava Kamma,7,1,שואל,"שומר חנם - חייב בפשיעה והשואל חייב אפילו באונסין ושוכר ונושא שכר חייבים בגניבה ואבידה וכ""ש בפשיעה וכולהו כתיבי כדתני בפרק השואל בבבא מציעא (דף צד:) פרשה ראשונה נאמרה בשומר חנם שניה בשומר שכר שלישית בשואל הלכך אבות נינהו ולקמן בעי מאי נינהו תולדות:"
Bava Kamma,8,0,שואל,תחת נתינה כו' - דבכולהו כתיב או תחת וגמרינן תחת תחת משור מועד דכתיב ביה שור תחת השור מה התם ממיטב דגמר משן ורגל דכתיב ביה מיטב שדהו אף כאן מיטב שאם בא לשלם קרקע לניזק בשביל הזיקו מגביהו מן העידית או נתינה וגמר נתינה נתינה משור שנגח את העבד דכתיב ביה יתן לאדוניו או ישלם וגמר משן ורגל דכתיב בהן מיטב כרמו ישלם או כסף וגמרי מבור דכתיב ביה כסף ישיב לבעליו וארבע אבות גמירי כולהו משן ורגל בשומר חנם כתיב אשר ירשיעון אלהים ישלם בשואל כתיב בעליו אין עמו שלם ישלם בנושא שכר כתיב אם גנוב יגנב מעמו ישלם שוכר אינו כתוב בתורה אבל דינו כנושא שכר בנזק דחובל בחבירו כתיב נתינה כן ינתן בו והיינו ממון הניתן מיד ליד כדדרשינן בהחובל (לקמן בבא קמא דף פד.) בצער כתיב פצע תחת פצע ודרשינן ליה לקמן בהחובל (בבא קמא דף פה.) פצע תחת פצע ליתן צער במקום נזק בריפוי ושבת כתיב נתינה שבתו יתן ורפא ובשבת כתיב תחת גבי אונס ומפתה דכתיב תחת אשר עינה ודרשינן בכתובות בפרק אלו נערות (כתובות דף מ:) חמשים כסף תחת העינוי מכלל דאיכא בושת ופגם לישנא אחרינא הואיל וכתיב בחובל בחבירו תחת דכתיב תחת פצע כולהו חמשה דברים דידיה מהתם גמרינן בתשלומי כפל כתיב ישלם שנים ובתשלומי ארבעה וחמשה כתיב חמשה בקר ישלם תחת וגו' וקרן דגנב בכלל כפל הוא ובגזל כתיב נתינה ונתן לאשר אשם לו (במדבר ה׳:ז׳) בעדים זוממין כתיב בהו נפש בנפש (דברים י״ט:כ״א) וכמאן דכתיב תחת דמי באונס ומפתה ומוציא שם רע כתיב כסף ונתן לאבי הנערה חמשים כסף (שם כב) היינו אונס מפתה כסף ישקול כמוהר הבתולות (שמות כ״ב:ט״ז) במוציא שם רע וענשו אותו מאה כסף (דברים כ״ב:י״ט) מטמא ומדמע ומנסך בכלל נזק הן ובנזק כתיב ביה תחת:
Bava Kamma,9,0,גדיש,לפטור בו את הטמון - שאם היו בגדים טמונים בגדיש פטור המבעיר דכתיב ביה (שמות כב) או הקמה ודרשינן בשילהי הכונס צאן לדיר (לקמן בבא קמא דף ס.) מה קמה בגלוי אף כל גלוי לאפוקי טמון דלא מה שאין כן בשור ובור ומבעה ורבי יהודה קא פליג התם:
Bava Kamma,17,1,הכונס,והאמר ריש לקיש - בהכונס צאן לדיר (לקמן בבא קמא נט:):
Bava Kamma,17,0,הכונס,ולרבי יוחנן דאמר - בהכונס אפילו מסר לו שלהבת פטור דהשתא מוקי להא דקתני מה שאין כן באש בשלהבת ודכוותיה דמחייב גבי שור ובור בשור מותר ובור מגולה מאי שנא כו':
Bava Kamma,18,1,שק,"שייר טמון - דהוה ליה למתני חומר בשור ובור מבאש שאם בעט שור בשק מלא כלים ושברן חייב או אם נפל חמור בבור ועליו שק מלא תבואה חייב ואע""ג דטמון בשק מה שאין כן באש דנפקא לן (לקמן בבא קמא דף ס.) מאו הקמה דאינו חייב אלא בגלוי:"
Bava Kamma,23,0,חלק,המקדש - אשה בחלקו:
Bava Kamma,25,0,שק,בשקדם וזכה בו אחר - לאחר שהזיק:
Bava Kamma,30,0,גופה,דלמא מן הצד - האי דקתני מועדת למעך לאו ברביצה אלא מן הצד כשהיא מהלכת ויש בצידה כלים ממעכתן בינה לכותל וזו היא שאמרנו הזיקה בגופה דרך הלוכה דהויא תולדה דרגל:
Bava Kamma,33,1,גופה,תנא אבות - רגל ממש שדרסה ברגליה וסיפא קתני תולדות הבהמה מועדת להלך כדרכה ולשבר בגופה ובשערה ובשליף שעליה דרך הלוכה דתולדות דרגל הן דהזיקה מצוי ואין כוונתה להזיק:
Bava Kamma,33,0,גופה,בתר מעיקרא - שדחפתו ובגופה תבר מנא:
Bava Kamma,35,0,גופה,"ובתר גופה גרירין - דבגופה טענה להו כגופה דמיין קמ""ל:"
