Masechet,Daf,Comment,References,Text
Bava Kamma,4,1,True,בין לרב בין לשמואל - דפליגי בפרק המניח את הכד (לקמן בבא קמא דף כח:):
Bava Kamma,7,1,True,"שומר חנם - חייב בפשיעה והשואל חייב אפילו באונסין ושוכר ונושא שכר חייבים בגניבה ואבידה וכ""ש בפשיעה וכולהו כתיבי כדתני בפרק השואל בבבא מציעא (דף צד:) פרשה ראשונה נאמרה בשומר חנם שניה בשומר שכר שלישית בשואל הלכך אבות נינהו ולקמן בעי מאי נינהו תולדות:"
Bava Kamma,7,4,True,"וריפוי ושבת ובושת - כולהו יליף מקראי בפרק החובל (לקמן בבא קמא דף פה.) וכיון דכתיבי אבות נינהו:כל הנך דר' אושעיא הוא עצמו מזיק דהנך ד' שומרים הן עצמם הזיקו הואיל ולא שמרו כראוי ובנזקין דאזיק גופו לא קמיירי מתני':
"
Bava Kamma,7,1,True,תנא ליה שומר חנם והשואל - דהתם נמי שייך גניבה כגון שטען שנגנב הימנו והרי היא בידו ואמרינן בפרק מרובה (לקמן בבא קמא דף סג:) דטוען טענת גנב כגנב וטוען טענת גזלן כגזלן והא דנקט הכא והשואל לאו דוקא דהא לא משכחת ביה דנפטר לא בטוען טענת גנב ולא בטוען טענת גזלן שהרי הוא חייב בכולו:
Bava Kamma,8,0,True,תחת נתינה כו' - דבכולהו כתיב או תחת וגמרינן תחת תחת משור מועד דכתיב ביה שור תחת השור מה התם ממיטב דגמר משן ורגל דכתיב ביה מיטב שדהו אף כאן מיטב שאם בא לשלם קרקע לניזק בשביל הזיקו מגביהו מן העידית או נתינה וגמר נתינה נתינה משור שנגח את העבד דכתיב ביה יתן לאדוניו או ישלם וגמר משן ורגל דכתיב בהן מיטב כרמו ישלם או כסף וגמרי מבור דכתיב ביה כסף ישיב לבעליו וארבע אבות גמירי כולהו משן ורגל בשומר חנם כתיב אשר ירשיעון אלהים ישלם בשואל כתיב בעליו אין עמו שלם ישלם בנושא שכר כתיב אם גנוב יגנב מעמו ישלם שוכר אינו כתוב בתורה אבל דינו כנושא שכר בנזק דחובל בחבירו כתיב נתינה כן ינתן בו והיינו ממון הניתן מיד ליד כדדרשינן בהחובל (לקמן בבא קמא דף פד.) בצער כתיב פצע תחת פצע ודרשינן ליה לקמן בהחובל (בבא קמא דף פה.) פצע תחת פצע ליתן צער במקום נזק בריפוי ושבת כתיב נתינה שבתו יתן ורפא ובשבת כתיב תחת גבי אונס ומפתה דכתיב תחת אשר עינה ודרשינן בכתובות בפרק אלו נערות (כתובות דף מ:) חמשים כסף תחת העינוי מכלל דאיכא בושת ופגם לישנא אחרינא הואיל וכתיב בחובל בחבירו תחת דכתיב תחת פצע כולהו חמשה דברים דידיה מהתם גמרינן בתשלומי כפל כתיב ישלם שנים ובתשלומי ארבעה וחמשה כתיב חמשה בקר ישלם תחת וגו' וקרן דגנב בכלל כפל הוא ובגזל כתיב נתינה ונתן לאשר אשם לו (במדבר ה׳:ז׳) בעדים זוממין כתיב בהו נפש בנפש (דברים י״ט:כ״א) וכמאן דכתיב תחת דמי באונס ומפתה ומוציא שם רע כתיב כסף ונתן לאבי הנערה חמשים כסף (שם כב) היינו אונס מפתה כסף ישקול כמוהר הבתולות (שמות כ״ב:ט״ז) במוציא שם רע וענשו אותו מאה כסף (דברים כ״ב:י״ט) מטמא ומדמע ומנסך בכלל נזק הן ובנזק כתיב ביה תחת:
Bava Kamma,12,0,True,ובעל חוב דינו בבינונית - במס' גיטין בפרק הנזקין (גיטין ד' מח:):
Bava Kamma,13,1,True,"לבעל חוב מדמינן לה דבעל חוב דינו בבינונית - בפרק הניזקין במסכת גיטין (דף מח:) והשתא אם בא בעל חוב לגבות מן הלוה בתשרי וא""ל ללוה הב לי זיבורית טפי פורתא כי היכי דליהוי שוה מלוה דאית לי גבך כזולא דהשתא מצי אמר ליה אי שקלת כו' ואי לא שקלת בינונית שקול כיוקרא דלקמיה:"
Bava Kamma,13,0,True,לכתובת אשה מדמינן לה - וכגון שנתן לה גט בתשרי וזילו ארעתיה והיתה כתובתה מאתים ודינה למיגבי מזיבורית כדמסקינן התם בפרק הניזקין:
Bava Kamma,13,0,True,וכתובת אשה בזיבורית - במסכת גיטין בפרק הניזקין (גיטין דף מט:) תני טעמא דיותר משאיש רוצה לישא אשה רוצה לינשא:
Bava Kamma,18,0,True,מה שאין כן באש - אש לא חייב בה שריפת אדם שהיה לו לברוח ואם כפות הוא המבעיר חייב מיתה וקם ליה בדרבה מיניה כדמפרש לקמן בפרק הכונס צאן לדיר (בבא קמא דף סא:):
Bava Kamma,18,0,True,חייב בו את הכלים - אם שיברן בנגיחה או בבעיטה שהיא תולדה דקרן כלים אין ראויין לאש שאין דרך להסיק בכלים: פלוגתא דרבי יהודה ורבנן בפרק שור שנגח את הפרה (לקמן בבא קמא דף נג:):
Bava Kamma,18,0,True,האחרון חייב - בין מת בו השור בין הוזק וטעמא מפרש לקמן מקראי בפרק שור שנגח את הפרה:
Bava Kamma,19,1,True,שקירב מיתתו - ופלוגתייהו דרבי יהודה בן בתירא ורבנן מפ' בסנהדרין בפרק אלו הן הנשרפין (דף עח.) ר' יהודה סבר כי יכה כל נפש אדם כתיב דמשמע כל דהו נפש ורבנן סברי כולה נפש משמע והיינו הכשרתי במקצת נזקו דומיא דחופר בור שהראשון הזיק והאחרון הרג:
Bava Kamma,23,1,True,"לרבות קדשים קלים - הא דכתיב בה' לרבות קדשים קלים שאם הפקיד בהמת שלמים אצל חבירו וכפר ונשבע והודה משלם קרן וחומש ואשם ואע""ג דבקדשי שמים אין נשבעין עליהן כדגרסינן בפרק הזהב (ב""מ דף נו.) בקדשים קלים נשבעין:"
Bava Kamma,24,0,True,"אי אליבא דרבנן - דפליגי עליה דרבי נתן בפרק שור שנגח את הפרה (בבא קמא דף נג.) גבי שור שדחף את חבירו לבור [ואמרינן] בתם בעל השור משלם רביע ובעל הבור פטור מפני שזה הפילו ובמועד בעל השור משלם חצי ובעל הבור פטור אלמא כי ליכא לאשתלומי מבעל השור לא משתלם מבעל הבור ואע""פ שבו נמצא הנזק ופשיטא דאינו גובה מבשרן כנגד אימוריהן:"
Bava Kamma,26,0,True,רבי טרפון היא דאמר - לקמן בפרק כיצד (בבא קמא דף כד:):
