,Masechet,Daf,Line,Masechet,Comment
0,Bava Kamma,2,0,שבת,"ולר""א דמחייב תרתי כו' - דאי עביד אב ותולדה דידיה מחייב תרתי חטאות במס' כריתות בפ' אמרו לו (כריתות דף טז.) כולהו אבות מלאכות ממשכן גמרינן להו במסכת שבת (דף מט:):"
1,Bava Kamma,3,0,שבת,"הכא מאי - תולדות דשבת הוי כאבות תולדות דטומאה לא הוי כאבות והכא תולדות דנזקין מאי מי אמרינן תולדות כיוצא בהן לא שנא אב ל""ש תולדה אם הזיק משלם או דלמא לא:"
2,Bava Kamma,3,0,סנהדרין,"ואגב אורחיה קמ""ל - קרא מדתלה נגיחה באדם ונגיפה בבהמה דמשמע נוחה היא הבהמה למות מן האדם משמיענו דשור המועד להרוג את הבהמה ג' פעמים לא חשיב העדאה לגבי אדם דאם נגח אדם ומת דינו כתם דאינו משלם את הכופר דבתם ההורג אדם כתיב סקול יסקל השור ובעל השור נקי (שמות כ״א:כ״ח) ובמועד כתיב וגם בעליו יומת וההיא מיתה היינו ממון שמשלם את הכופר דמי נהרג ליורשיו ולא מיתה ממש דאמרינן בפ""ק דסנהדרין (דף טו:) על רציחתו אתה הורגו ואי אתה הורגו על רציחת שורו אבל מועד לאדם הוי מועד לבהמה ומועד להרוג את האדם משכחת לה כשלא עמד בדין עד שנגח שלש פעמים שלא נסקל מיד כשהמית הראשון:"
3,Bava Kamma,7,1,בבא מציעא,"שומר חנם - חייב בפשיעה והשואל חייב אפילו באונסין ושוכר ונושא שכר חייבים בגניבה ואבידה וכ""ש בפשיעה וכולהו כתיבי כדתני בפרק השואל בבבא מציעא (דף צד:) פרשה ראשונה נאמרה בשומר חנם שניה בשומר שכר שלישית בשואל הלכך אבות נינהו ולקמן בעי מאי נינהו תולדות:"
4,Bava Kamma,7,3,חולין,מדמע - תרומה בחולין:
5,Bava Kamma,8,0,סנהדרין,"לגזיזיה - לכח אגרופו כדאמר בסנהדרין בפ""ק (דף ז.) אדייה לגזיזה וקם:"
6,Bava Kamma,8,0,כתובות,אונס ומפתה דממונא הוא - שחמשים כסף לבד הוי קנס אבל יש בו פגם ששוה עכשיו פחות מדמעיקרא כדאמר בכתובות (דף מ.) ובושת דממונא הוא:
8,Bava Kamma,13,1,גיטין,"לבעל חוב מדמינן לה דבעל חוב דינו בבינונית - בפרק הניזקין במסכת גיטין (דף מח:) והשתא אם בא בעל חוב לגבות מן הלוה בתשרי וא""ל ללוה הב לי זיבורית טפי פורתא כי היכי דליהוי שוה מלוה דאית לי גבך כזולא דהשתא מצי אמר ליה אי שקלת כו' ואי לא שקלת בינונית שקול כיוקרא דלקמיה:"
10,Bava Kamma,14,0,גיטין,"מן האחרון - דאפי' שקלו קמאי עידית ובינונית מצי מדחן להו הלקוחות לנזקין וב""ח אצל זיבורית דאמר הנחתי לך מקום לגבות הימנו ותנן במסכת גיטין (דף מח:) אין נפרעים מנכסים משועבדים במקום שיש בני חורין ואפי' הן זיבורית דכי זבון הני תרי קמאי אשתייר זיבורית בני חורין ואע""פ דהדר איזדבנא בתר בתרא אזלינן:"
11,Bava Kamma,15,2,כתובות,אנא בהאי תקנתא לא ניחא לי - שקילו כדינייכו: דאמר רבא במסכת כתובות:
12,Bava Kamma,15,0,כתובות,דאמר רבא - במסכת כתובות:
13,Bava Kamma,15,0,שבועות,"וקמשתעי דינא בהדיה - דבעל חוב לסלקו מאותו קרקע בדברים אם יש לו לראובן שום תביעה על בעל חובו לומר פרעתיך דקיימא לן במסכת שבועות (דף מא.) דאע""ג דנקיט שטרא אי א""ל אישתבע לי דלא פרעתיך בעי אישתבועי:"
14,Bava Kamma,16,0,יבמות,ורביע במעות - או רביעית במעות כמו דתנן ביבמות (דף נ:) חלץ ועשה בה מאמר ונתן גט ובעל:
15,Bava Kamma,18,0,בכורות,"שור פסולי המוקדשין - שנפדה ונפל בבור פטור בעל הבור דכתיב (שמות כ״א:ל״ד) בעל הבור ישלם והמת יהיה לו יצא זה שאין המת שלו דאע""ג דנפדה אם מת אסור להאכילו לכלבים כדאמרינן בבכורות (דף טו.) תזבח ולא גיזה בשר ולא חלב ואכלת ולא לכלבים ובפסולי המוקדשין הכתוב מדבר ואם נגחו שור חייב דהא כתיב שור רעהו וכיון דנפדה שור רעהו קרינא ביה ואע""ג דבשור נמי כתיב והמת יהיה לו מוקמי' ליה לקמן לבעלים מטפלים בנבילה:"
17,Bava Kamma,20,0,בבא מציעא,מדאמרי ליה רב כהנא ורב אסי - בבבא מציעא בפ' השואל (דף צו:):
18,Bava Kamma,20,1,נדה,"דאין מקצת שליא בלא ולד - ומש""ה חוששת שמא רוב מיחוי הולד יצא באותו מקצת ומכי נפק רוב הוי ליה כילוד כדאמרינן במסכת נדה (דף כח.) יצא מחותך או מסורס עד שיצא רובו ומימנא ודאי לא מניא מראשון דשמא לא נפק רובא עד שני דאי יש מקצת שליא בלא ולד לא הוה חיישינן לטמא טהרות דכולי האי לא חיישינן דנימא תרי חומרי דלמא נפקא ורוב נפקא:"
19,Bava Kamma,22,0,גיטין,פרוזבול - מפרש בגיטין (דף לו.) שתיקן הלל הזקן פרוזבול כדי שלא תשמט שביעית המלוה:
20,Bava Kamma,23,0,מעילה,"מעילה הוא - דבעינן דלא להוי בהו בנכסים שאני חייב בנזקין הא אי לית בהו מעילה אע""ג דמקדש קדשי [אני] חייב בנזקין כגון קדשים קלים שאין בהן מעילה מחיים אלא באימורין לאחר זריקת דם כדגרסינן במסכת מעילה (דף ז:):"
21,Bava Kamma,23,1,תמורה,"ואליבא דר""ש דאמר - במסכת תמורה (דף כא.):"
22,Bava Kamma,24,0,מנחות,שלמים - שטעונין סמיכה ונסכים מנחת נסכים שלשה עשרונים לפר ושני עשרונים לאיל ועשרון לכבש כדמפרש במנחות בפ' כל [המנחות] (דף סא.) אבל בכור לא:
23,Bava Kamma,24,0,בכורות,"למעוטי מעשר בהמה - שאע""פ שהוא קרב שלמים כדאמרינן בפ' בתרא דבכורות (דף ס.) אפי' הכי לא הוי מחיים ממון בעלים כשלמים:"
