,Masechet,Daf,Line,Perek,Comment
0,Bava Kamma,3,0,גופה,נגיפה - שדחפה בגופה והזיקה בכוונה:
1,Bava Kamma,4,1,המניח,בין לרב בין לשמואל - דפליגי בפרק המניח את הכד (לקמן בבא קמא דף כח:):
2,Bava Kamma,5,0,המניח,"אי דלא אפקרינהו לשמואל דאמר - התם בהמניח את הכד (לקמן בבא קמא דף כח:) כל תקלה בור הוא ואע""ג דלא הפקיר היינו בור:"
3,Bava Kamma,7,1,שואל,"שומר חנם - חייב בפשיעה והשואל חייב אפילו באונסין ושוכר ונושא שכר חייבים בגניבה ואבידה וכ""ש בפשיעה וכולהו כתיבי כדתני בפרק השואל בבבא מציעא (דף צד:) פרשה ראשונה נאמרה בשומר חנם שניה בשומר שכר שלישית בשואל הלכך אבות נינהו ולקמן בעי מאי נינהו תולדות:"
4,Bava Kamma,7,4,החובל,"וריפוי ושבת ובושת - כולהו יליף מקראי בפרק החובל (לקמן בבא קמא דף פה.) וכיון דכתיבי אבות נינהו:כל הנך דר' אושעיא הוא עצמו מזיק דהנך ד' שומרים הן עצמם הזיקו הואיל ולא שמרו כראוי ובנזקין דאזיק גופו לא קמיירי מתני':
"
5,Bava Kamma,7,1,מרובה,תנא ליה שומר חנם והשואל - דהתם נמי שייך גניבה כגון שטען שנגנב הימנו והרי היא בידו ואמרינן בפרק מרובה (לקמן בבא קמא דף סג:) דטוען טענת גנב כגנב וטוען טענת גזלן כגזלן והא דנקט הכא והשואל לאו דוקא דהא לא משכחת ביה דנפטר לא בטוען טענת גנב ולא בטוען טענת גזלן שהרי הוא חייב בכולו:
7,Bava Kamma,9,0,גדיש,לפטור בו את הטמון - שאם היו בגדים טמונים בגדיש פטור המבעיר דכתיב ביה (שמות כב) או הקמה ודרשינן בשילהי הכונס צאן לדיר (לקמן בבא קמא דף ס.) מה קמה בגלוי אף כל גלוי לאפוקי טמון דלא מה שאין כן בשור ובור ומבעה ורבי יהודה קא פליג התם:
9,Bava Kamma,13,1,הניזקין,"לבעל חוב מדמינן לה דבעל חוב דינו בבינונית - בפרק הניזקין במסכת גיטין (דף מח:) והשתא אם בא בעל חוב לגבות מן הלוה בתשרי וא""ל ללוה הב לי זיבורית טפי פורתא כי היכי דליהוי שוה מלוה דאית לי גבך כזולא דהשתא מצי אמר ליה אי שקלת כו' ואי לא שקלת בינונית שקול כיוקרא דלקמיה:"
10,Bava Kamma,13,0,הניזקין,לכתובת אשה מדמינן לה - וכגון שנתן לה גט בתשרי וזילו ארעתיה והיתה כתובתה מאתים ודינה למיגבי מזיבורית כדמסקינן התם בפרק הניזקין:
12,Bava Kamma,17,1,הכונס,והאמר ריש לקיש - בהכונס צאן לדיר (לקמן בבא קמא נט:):
13,Bava Kamma,17,0,הכונס,ולרבי יוחנן דאמר - בהכונס אפילו מסר לו שלהבת פטור דהשתא מוקי להא דקתני מה שאין כן באש בשלהבת ודכוותיה דמחייב גבי שור ובור בשור מותר ובור מגולה מאי שנא כו':
14,Bava Kamma,18,0,הכונס,מה שאין כן באש - אש לא חייב בה שריפת אדם שהיה לו לברוח ואם כפות הוא המבעיר חייב מיתה וקם ליה בדרבה מיניה כדמפרש לקמן בפרק הכונס צאן לדיר (בבא קמא דף סא:):
15,Bava Kamma,18,0,שור שנגח,חייב בו את הכלים - אם שיברן בנגיחה או בבעיטה שהיא תולדה דקרן כלים אין ראויין לאש שאין דרך להסיק בכלים: פלוגתא דרבי יהודה ורבנן בפרק שור שנגח את הפרה (לקמן בבא קמא דף נג:):
16,Bava Kamma,18,1,שק,"שייר טמון - דהוה ליה למתני חומר בשור ובור מבאש שאם בעט שור בשק מלא כלים ושברן חייב או אם נפל חמור בבור ועליו שק מלא תבואה חייב ואע""ג דטמון בשק מה שאין כן באש דנפקא לן (לקמן בבא קמא דף ס.) מאו הקמה דאינו חייב אלא בגלוי:"
17,Bava Kamma,18,0,שור שנגח,האחרון חייב - בין מת בו השור בין הוזק וטעמא מפרש לקמן מקראי בפרק שור שנגח את הפרה:
18,Bava Kamma,23,1,הזהב,"לרבות קדשים קלים - הא דכתיב בה' לרבות קדשים קלים שאם הפקיד בהמת שלמים אצל חבירו וכפר ונשבע והודה משלם קרן וחומש ואשם ואע""ג דבקדשי שמים אין נשבעין עליהן כדגרסינן בפרק הזהב (ב""מ דף נו.) בקדשים קלים נשבעין:"
19,Bava Kamma,23,0,חלק,המקדש - אשה בחלקו:
20,Bava Kamma,24,0,שור שנגח,"אי אליבא דרבנן - דפליגי עליה דרבי נתן בפרק שור שנגח את הפרה (בבא קמא דף נג.) גבי שור שדחף את חבירו לבור [ואמרינן] בתם בעל השור משלם רביע ובעל הבור פטור מפני שזה הפילו ובמועד בעל השור משלם חצי ובעל הבור פטור אלמא כי ליכא לאשתלומי מבעל השור לא משתלם מבעל הבור ואע""פ שבו נמצא הנזק ופשיטא דאינו גובה מבשרן כנגד אימוריהן:"
21,Bava Kamma,25,0,שק,בשקדם וזכה בו אחר - לאחר שהזיק:
22,Bava Kamma,26,0,כיצד,רבי טרפון היא דאמר - לקמן בפרק כיצד (בבא קמא דף כד:):
23,Bava Kamma,27,0,הזהב,"דבר השוה כל כסף - שנותנין עליו וקפריך מאי ניהו דאין להן אונאה מאי כל כסף דקאמרת דאין להן אונאה שאפילו קנאן ביותר מדמיהן שתות אין מוכר חייב להחזיר לו כדקאמרינן בפרק הזהב (ב""מ דף נו.) העבדים והשטרות והקרקעות אין להן אונאה אפילו קנאן ביותר מדמיהן:"
24,Bava Kamma,27,0,מרובה,"הניחא למ""ד כו' - פלוגתא הוא לקמן בפרק מרובה (בבא קמא דף עה.):"
25,Bava Kamma,28,0,הבא על יבמתו,עבד אין לו יחס - דאמרינן בפרק הבא על יבמתו (יבמות דף סב.) הכל מודים בעבד שאין לו יחס כדכתיב עם החמור עם הדומין לחמור:
26,Bava Kamma,28,1,שור שנגח,רבי יוסי הגלילי היא דאמר - בפרק שור שנגח את הפרה (לקמן בבא קמא דף מב.) תם משלם חצי כופר וליכא שיורא דאי משום דהאי משלם כופר שלם והאי לא משלם אלא פלגא כופר לאו שיורא הוא דהא תני לה תם משלם חצי נזק ומועד נזק שלם וכופר בכלל:
27,Bava Kamma,30,0,כיצד,"הא קתני לקמן - בפרק כיצד דקמפרש לכולהו מועדין דפ""ק וקמפרש נמי שור המזיק ברשות הניזק כיצד:"
28,Bava Kamma,30,0,גופה,דלמא מן הצד - האי דקתני מועדת למעך לאו ברביצה אלא מן הצד כשהיא מהלכת ויש בצידה כלים ממעכתן בינה לכותל וזו היא שאמרנו הזיקה בגופה דרך הלוכה דהויא תולדה דרגל:
29,Bava Kamma,33,1,גופה,תנא אבות - רגל ממש שדרסה ברגליה וסיפא קתני תולדות הבהמה מועדת להלך כדרכה ולשבר בגופה ובשערה ובשליף שעליה דרך הלוכה דתולדות דרגל הן דהזיקה מצוי ואין כוונתה להזיק:
30,Bava Kamma,33,0,גופה,בתר מעיקרא - שדחפתו ובגופה תבר מנא:
31,Bava Kamma,34,0,שור שנגח,"וס""ל כר""י דאמר - לקמן במועד צד תמות במקומה עומדת לקמן בפרק שור שנגח ארבעה (בבא קמא דף מה:) והלכך גבי צרורות נמי לסומכוס דחשיב ליה מועד משלם החצי מגופו וכי קתני מגופו אצד תמות:"
32,Bava Kamma,35,0,גופה,"ובתר גופה גרירין - דבגופה טענה להו כגופה דמיין קמ""ל:"
33,Bava Kamma,38,1,מי שמת,"דמי שעורין בזול - כפי שהיה צריך ליקח שעורין למאכלה אם היה רוצה להאכילה שעורין ולא יתן לו כשער שבשוק דלמא איהו לא מאכיל לה שעורין אלא בזול יתן כדאמרינן בפרק מי שמת (ב""ב קמו:) וכל זוזא חשיב בארבע דנקי דהיינו שני שלישי הדמים:"
34,Bava Kamma,40,0,פירות,"דקיימא - חנות בקרן זוית כגון מבוי קטן הכלה במבוי גדול וקיימא חנות בראש מבוי קטן ומשוך קצת כלפי פנים <img src=""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAMIAAAB7CAIAAACpRsjbAAAACXBIWXMAAA50AAAOdAFrJLPWAAAACXZwQWcAAADCAAAAewCFOaKLAAATbUlEQVR42u1dCXQURRqemcTlNqARAReRKPqeyurzcbi6PGFBBQ9ARDd4y4qgAsKiru5blRUVweMpLqCwcojIJS7qej8FXCIIyXIakkDuhNxDLiaZpLtre6a6a6qrq3u6JzM9Nemuh7Fnuqe7uv6v/rv+cgnBxgP4fwEA+Sj4SWCyiZ3keT7sNYLTrGoug2SLCm2iTtqwYNJ6Ogg2h/wxgRGiiho34qnIhj7wEy74WyXFNfifhSyNd6hvLTfquBCiIoYHkfAqU7AjxB/+W1OczGnhYRTiPbwmqUC4Fp728JrgX04kIiBBpvPbyDgWjiEFaIJ3U4DYEXBR5UZAJDAa9LKyEleoeVwda+7g34cevPeT7ZuPHT1YWJBXV1vpbzsDuHaR3EAwh0tC1Ib9ifgAHDeORIulbiSiCFNirrpqaBRhRIcVfhDucvFf925d0gYPOr9v6pLXXvWdaWpuajAII/GlpPfCtD2JYzmcKCow4oJqsDiiLaAZISY4xLyCkG63KxGbO4C/KbdNzNj9U+Cl/O28vw1gEtbRk6ICo9BkxAe/pDif+MYInsxAzRNndNG7SvaqZ6+uI0eOvOLKS++4Y9Lu3Tuzsg7s+GxbWNXQbt4EhVDDB/HGm0YHVGFNVySHlN8Wfy08KMo/Vl5yoqm+4uD+Pfem35nkcd2bfgfLSIp6GzFihDgOw4Zdc/P4se8se7O4uNAmeFLA6OyUbvigqP1Gqp9zIVcTb8JEB9Byk/7wZxqrsvZlbN64LnpS02OAFXl0fxIhxNOn3Sk/Ao4hsANzQkItwF2GXnkZGmWxIWQEsKJUJrS8yQSHh8daPL8jznFcoLT6m7Zu2zB8xNUxkn3GJTXsDzEVbcGNcBIOHToEVxowxZOKDAViZHsHqK/XgpFasdUyuKIym5XKTMhTUFyaLb7smFHDpk25DZqEvbu5I+Nz9oUR/oEYPMM34SSLGklAEJ6ipk7FQiggg590kGo8F80ffe+rAyPh1vFjFUMQJeKZinJYACOqeU9IWONPhHdDoBxy6eAgx/LYC0b4mKb07KJWsTWUaxMU0sYNfmdgCkYEGwgecEjamuKjeH+Is8Ckt5tgRbbjRpD8CTAEhNOZPQuI8EvZ02/EMIxwxND0GNZgBB3oUGvs9F7yxIFRogwoMYY2dD86MIo6jOzlxYZv68AoujDq3yfFXrqRA6Mowgi5324eO1rQjCM5MHKaPjeScfTUgrlsmpMOjBJJqD08/T4B2CU0q6diO/lcHYHRJUMG2Us3Ug+B2+3GTzl4MtjkwDYeDOHsC6PfnJWEyzunRWKpDUi1Oze6ZcI4QcaRw5Mig9GYP15ndxgN6C/NJGfhRMQwun3iBNvrRnISliPUIobRwAv72oSLO8GQGMJo5XvL7M6NHBh1zFILtCVLX7IRjJDYYg9GZHGBxOJG/1z+psON4gYj6oqR2rpKzKeVBIPnDOoc+AB+/c0Om3hMFJkMTHEjHCLduyWjhRlih998awk89vmaWYZRfkGuXWCUELqRukso65llGFXXlNoLRoznYrf5z6i7VN9Q+933X7EHo9BCtqrqcrV0driR1bqRum/KhR8sxqqUQi3HXio2pFzXrl3Z5EYN9TXUpauA4ZUh9smgFYh1asyq2J/t2Aa7dCDzZ0FepNZ/QCrDupHHpQgDcLbgRuzASL2CETZ/a5MEr2AemHxJaJEkI8Y/PoBnfA0WiHsHRkaahCRe0Fpgz1bUTynUYohsi6eN/pp0RmFEVCwRO7Nq+Tvix9qaUyHFSPBHvPDeAhgN/G0/2DNBV6hFsSpGTF9fvzg9u9wIhwjRsQH9U5nVYeUhNl31gOAu+EcW5LX+ULMs1DgcRm6Xa8Xyt3FSdZr4sXpzBAZb4sJI6v2ejJ0Y7+GI3p6ur6Tp5vHEBFGi1FQF35SUlNTU1CS5JScn9+7de9KkSRs2bMjKyvJ6vaWlpQUFBTXBJh5XVFQ0NjZmZ2fn5OWeqqwIlDVXVl0yUhFfpxAq0LhbwqnYga6n9O5K9IeTudGgi/rJlzFhqZ04cRQZ/FaWgLa+2LQiGotXMOrSpQvj+UZAqXMwKAVyc7MioGqi1Bwn+klyIyieZ816lE0YiXCZM3vmbRPGjRh+dfJZrjpvZQD8gMUFqZImhw23m20odORXJIzgtJ4//0k2hRqVfbtZZZlQPeG45sC+B8FypeVlhXt2/fDUgicH9D+vZ49ubMDJo4NygxX06bpRv359WU4UGXLJIMKOYzpoxUzfqOq2+MHnrTm8b3fe0azi3GxveVFteWFdecmypYvnz5yx94fvaytKT2QfyTtysOZUSW72Yb+vAfDcpo/Xf7xxnd/fQCja7KatUau5M2KOmQIQ2p9EvVQrjg4hgPlT9LthxAvqwuvwsw4jlTs4AULowT5DKzJu+1ga2e1OG9la+xqSBj86N378TQwLNU9iLVkJS7x4sSL9cIoR0FAIhF864ZZxDKvYARg1N1eXF+UlRh4PUfOURjALXiQ2a1Y5wlGnwEpmVgauxjM1s19+8TmBUwQNWF6Kqqo+C9gUxBEUsyd2N6DAKOPn3bhBKDjNisYROKNow6FkB4rybhyXANsgSPl0JVCAfJHheerC8XXjTWNwoebUD7HOIBcUROOBRGBEUSX3VafHhN+lBUdSIBgAf8srocOb2uNAAaMQolWWGufQ2CoDwoUwIW2zwYN7pt3V2tIkKB2wZ6d0r/NWauwphauSLnT82OOPwFOvLn5x1A3DSkrzBSybBfcqHT6SJWnZpniRzu6OmG7kgCnmMHLLJVygU1lO0JPhRWZcefqc0ytIFwppmpq9iHyFRXk4RmkOHQ5dgG0lqFbpuPCWGuKWhAvcEWrWKOM9u56F0xJm36LjObNnwU3GiMiFoL3rEr6gAF7s9Z4Szzc3edHP75o6GYJDwTuC92+orwEmt9MIz40cMFmgHF3Q71wIgpxjh3F+kJW5D30kxJbK/xRSa6DjBl7Z3FBLwA7+HIVE4Nk7Jt+GYPfgA/dRnRSGYASf8cn2zfC+jz3xUFA6OjWyrGjPzJ0tYInn+KmdP34XECrtPsD58Qkv0PKjkbWEcwHxeN0H70kfgwSd+eh0PGEIPx71h2sJVmeaGwV5KS8oc7adamsxbWjZe/A4IL4IGCFhR3yp6z4QiFDp5o1reIAF0QBHwAhd/P7yZSFfj3EvNjI4YeUX7+lqtZWIm53xYPmdXKoCJXRwAssAAmgzJCR6DJJDpJ148QvPLcC5lvIpAOFGxNedE2+ZM2tGyN1gzGKj1+iAfnp17NcyPYl4EM2dz3UOvQ0RlbD/UROnNyTNTTeOgRds2rQWkMoG0LcEC05kw2fVVpX9kvFTakpPZEIBGaMitY8dPBBSm1SdNASjouKTsN8ZP+9W/4znQVyMf2o8CN/etVM0TgdG+Jfy+7cGOQQXoog2mXH5heedESX2JD4iuxvMjq0LuTLvf2CaeIvX33rlgoH95i2YLd5r7YerJf8pEOKOHvHjmrUr06fd+eGGD+Cb/5p9qJOoR1wr4X4Um6zqcjgC9Hm2VisvOgnRdtHAvrT1fUhn4qsriiS/o+FNzCkqNk6zRa++KD5vf9Ye2F0ucMP4+CExH64nWA1iD/zwlwVzOgdDam1uwHkAxbgBwB3kIRG9r5Qux0l3g7jktOQUNextQqhhPEDKT/38i23x0TiVs2THZ1sgbpa9+zoBrE5gRYoEa6irDvsuWsHysNFZ+qlop0hgnq59GdBHuv5f7zOieCJUURaNd6Kqy0Bl5FNhNGPW/YK6KK8JdzOHY0iK0RLxOF4wxYRIgx92FAVDJDNbegZvpW5EuNR0NKfOs/ga6BCMDHcYGR8N9sPhIQ6qGR9xlR8XRyuKre5ifLUQwkWLppcdXKPxf0d6ahuvWAivFhNu2hS3FEYqG43IBE0U9FjZYVN5+xGjRwsSdHcFExSQO/nNt1+45T3tqZUMOjEjImmp+9a4kRWqdwNoRrs5aRjyfWshKYSYmX9+yK1R+9JqiaYU/1cOHYJ6FVQj+OdfeBZ+c8+fpnRuGRTPBeYAGH+1UKRmysRbkZa9YMET8aQEr4AvWcJCTnE4cmRfaUm+o83EunucyjugTtsNpTiqy46YDaxEeRIQur/bpZijrAZDGKn3kJaWlp6ejvhCsifp4sFp55/X1+Qyf62V/J4rhqZRDH5xcrc0eqkL/fFltRZbv7BoSGlJgZb92LlhFK1qNWbvY/BquvsxQKT2Vo/bRd2ggy1HC8MxkGiX/XArWIKFRW7Cgo8CI55vh3Bxu+IMI0BLcgoWemkJBPX8ZyQ9W1KQ2KqtGSgM17OLvjyIV72iqFfioqjYAuYXvuKyS3fu+k4t1KyljWS1ipiZNnUiMRXdaJd7xtgk7iOllV7kufaWtpbGtjMN7b5Gv6+htqqM89eXFZ/861NP5Px6CF7U5K08fjDzs60fNdZVlZw4eqo4v7W5Jvt/B2orin/4akdZ0fHWptNtvrrGuuqD+/f859NP161e+ciD9z09f+4/nv/7uNGjRv3+2runTFq86KU3Xntl+gP3r3l/xfx5c8Wx6uZ2PTN/7qb169PT7x42/GpxEJPPcl35u4sn3Tr+8ssuHHr5kLFjrxehlpzkuuG6kY/PePCNJS+vWvHm1nVrVr67tO50WX5BTp23ss57iuoKduFRFaKGkhDPIqmhjM/m01WwT3v/+x2hPLGsKhmMIFELp2hJ7di/LxdOYQhbXr3Nr1+1w2pLzXJHcMfNZlTdIZBVgzkPw0MKdGg7VD7YtPpGyfsDxsYfj8HpunxDkktkqkRqXNxK3wMy0xIOrqjABXyyvLRehc3aj/gqZB38qcKfnPSeSmoR+OiIE45YZ40dc2ZYBhcGRt7qCsiHCvKOx508cP0v/s0Xn24V+3ZBvz57f/oRAEa3MobZWtREcmpkPqQzCNBcULJe9Bf/aIDkmjKRNypY1ANLrUWhhBGWvinyohZfw9r1K+JrXVeUFR49dECeuDwhas87p4d4zJQLW1Y5+d8k0W0ZLcpxmLtVZrphMnMiK8AVU6niwuQIh15e1MnVyrWVeHKrCqYGcv9UZSp37fqGJVnGLX5tof62fGHGEMSwDJKsDxjiTLRFE0ABdgJG+Jef/nuLDuOyUnVNCoInM3OPXLRF/NvGg5Ah8+Xn24gICQtt3NgbbLq7Iy7Ud+78kgX9AlcFCPYOdVBBmQPKTlv00gu2hhHSjZ59et6aD95j5v1NCoV4W/4rlr9jUxihac21+xiqZiwYtUqYaqtXrbAvN5KmuLKCDjtTPFEwJLY5s2fZWqhBVx6De3Ho4IkRIuHdaG46bV8YKZf9elhbuMOqt5rStmz+yLYw4lC0lro5DSNzHaiCO+wQCSn+NhZqWLFkxvfkY81Ag1UTcFhr1GC1n8HvwKhDo+l2OTByYGRSY5O8oECQMzLZ3KzXYhjxDowittGgeuR2YARAmwOjiJFELKmzHYzQQFRUFDowiowVhUbT4UaPPHyfAyMTMFIG94JZdtzUSRPsDqMlLy90YNTR0bQzN4KJ6L8oNlNzERw84klr1PDRDt3reLFZ8+/Z12+EmHPhyePQiw3/qmGEssYioKiRUjKs+abNTgDH4A80uDKErLugs1QF3xFccRmIClXCmkXsqEmC5oZ09oGRTJvNG9fhMFKvMdLJMze7HgVHA6DXPUk8RuVwo0BLv2sypZwIb2j2R8AeTJXCBKzqRvhMsDWMkG6UNmiAMjrNFx3PQx8//nD99k82f/3V5zk52fWNp1vbWuDWcUi0GZQ41H2T9ZTrjulbjqVmFYxkSrS1NBJJDhplUDwGS6qI/6187+39BzL8bWckzCnX/umlOKpKDhrhWHFFVWBNxDnn9rCtUJPUlzZfE8p+fGruPOBrwQqaeKypsdKrV6+uPZLHTxi3eevGkyfzKqpONTc3ShkZMq7Y0a/VqHV0IzQKgcI8Wb/siriuk1b5LtybYHEbNuyaVatXHMjcW1VdXl1VVl5WVF5WWFyc21BX3dJU39ToBapGLwbNh+F/ahhB3Hf6/DWXQv8IpbBJ+6mV5R4VkeHpWJUvJXRiy9gCz3LH5rbUynby1198uUOEy+gx19ueGylmYfitTAgtR2wncw4+On2aOZZjluRumbd15CaxAZY4Au8uX+oINbqzh6qOkOa6UgoobTdptwp4me90eea+nSW5h/bt/nrxwr/16Z7sUtVQs77+XFRuJ77pw9NV4e3EdM1HItS0lNZgQUjVvhyG91xC4hJtlkvoGcFqLEbHF9daeH9def6Rk9n7t29YNXxoWmqP5MHn9xg8oLc71ih064GuvqGGuFawzYbPLk0PDZxGAlCqllwYfyCvhBrmTIIli4C8WRsPZNFpYisnhZ5LPsuYt0mraAuQS2XIu9bxwO8HrX7py/a2QP20Vl9TVWV5/omtWz5avGjhvNmPTZ18+48/fCv+O3I4U1DmYotgFdirwGSlUNMsVqIv3VRKVRjvYWTWNU4YHnTIrw1CGx6STlEt9z2xgwBxUm2pwX3vgQBsByMivEWNWlALX+KOOAUxcKFG6Aomo62AVopQP65CnFXeAVbxUSh/6p5wNM1P0Hg6wlBZ3mEcqXbkRk7riE/SPqscHRhZ6t12YOQ0B1jh2/8BG/D3iBS97S0AAAAaelRYdGpwZWc6Y29sb3JzcGFjZQAAeNozAgAAMwAziTgjNQAAACR6VFh0anBlZzpzYW1wbGluZy1mYWN0b3IAAHjaM6ww1DGEYAARbwLnnf4emQAAAABJRU5ErkJggg==""> וכשנכנסה בהמה ממבוי גדול לקטן פגעה בפירות מיד דרך הלוכה דלאו מחזרת היא:"
